simplified_sentence,head_entity,tail_entity,relation
Tea bag in mug,tea bag,mug,in
Mint julep in glass,mint julep,glass,in
Rasher in book,rasher,book,in
Pencil contains lines,pencil,lines,member_of
Menu includes dishes,menu,dishes,member_of
Woodcocks found in fall,fall,woodcocks,member_of
Ambush of tigers noticed,ambush,tigers,member_of
Council composed of advisors,council,advisors,member_of
Array contains hedgehogs,array,hedgehogs,member_of
Corps of executives failure,corps,executives,member_of
Member of the panel,panel,member,member_of
Grove of olive trees,grove,trees,member_of
Rain of meteorites occurred,rain,meteorites,member_of
Grove of oaks removed,grove,oaks,member_of
Constituency of supporters,constituency,supporters,member_of
Lawyer member of team,lawyer,team,member_of
Student in university,student,university,member_of
Troubling of goldfish purchase,troubling,goldfish,member_of
Clew of slow worms,clew,worms,member_of
Peep of chickens observations,peep,chickens,member_of
Cooperative of associations,cooperative,associations,member_of
Clan of berserkers,clan,berserkers,member_of
Corporal in army,corporal,army,member_of
Community of citizens,community,citizens,member_of
Bench of bishops replaced,bench,bishops,member_of
Flock of geese,flock,geese,member_of
Regiment of musketeers,regiment,musketeers,member_of
Cadge of peregrines,cadge,peregrines,member_of
Pleiad of poets,pleiad,poets,member_of
Army of caterpillars,army,caterpillars,member_of
Boards of directors,boards,directors,member_of
Regiment of hunters,regiment,hunters,member_of
Melee of influences,melee,influences,member_of
Kindle of kittens,kindle,kittens,member_of
Community of teachers,community,teachers,member_of
Mess of officers,mess,officers,member_of
Surgeon in group,surgeon,group,member_of
Sord of mallards,sord,mallards,member_of
Kennel of dogs,kennel,dogs,member_of
Cache of jewels,cache,jewels,member_of
Team member research,team,member,member_of
Confederation of aspects,confederation,aspects,member_of
Cooperative of dairymen,cooperative,dairymen,member_of
Leap of leopards,leap,leopards,member_of
Brigade of chefs,brigade,chefs,member_of
Municipality of corporation,municipality,corporation,member_of
Faction of dragons,faction,dragons,member_of
Organization of corporation,organization,corporation,member_of
Sounder of boar,sounder,boar,member_of
Deputy in party,deputy,party,member_of
Legion of marksmen,legion,marksmen,member_of
Wolf in pack,wolf,pack,member_of
Sergeant major in army,sergeant major,army,member_of
Universe of players,universe,players,member_of
Skulk of thieves,skulk,thieves,member_of
Congregation of hippos,congregation,hippos,member_of
Ensemble of ladies,ensemble,ladies,member_of
Creep of tortoises,creep,tortoises,member_of
Cavvy of mounts,cavvy,mounts,member_of
Pleiad of authors,pleiad,authors,member_of
Hatch of mayflies,hatch,mayflies,member_of
Crush of delegates,crush,delegates,member_of
Member of organisation,member,organisation,member_of
Draught of salmons,draught,salmons,member_of
Parcel of birds,parcel,birds,member_of
Herds with stallion,herds,stallion,member_of
Rhumba of rattlesnakes,rhumba,rattlesnakes,member_of
Swarm of locusts,swarm,locusts,member_of
Alliance of partners,alliance,partners,member_of
Nursery of raccoons,nursery,raccoons,member_of
Gam of whales,gam,whales,member_of
Clutter of spiders,clutter,spiders,member_of
Division of grenadiers,division,grenadiers,member_of
Psittacosis of parrots,psittacosis,parrots,member_of
Battalion of grenadiers,battalion,grenadiers,member_of
Cast of ferrets,cast,ferrets,member_of
Committee member,committee,member,member_of
Director in organizations,director,organizations,member_of
Passengers in elite,passengers,elite,member_of
Cluster of bees,cluster,bees,member_of
Phalanx of umbrellas,phalanx,umbrellas,member_of
Squadron of dragoons,squadron,dragoons,member_of
Surfeit of skunks,surfeit,skunks,member_of
Pile of books,pile,books,member_of
League of tribes,league,tribes,member_of
Raffle of turkeys,raffle,turkeys,member_of
Remuda of geldings,remuda,geldings,member_of
Head of team,head,team,member_of
Armada of ships,armada,ships,member_of
Wake of buzzards,wake,buzzards,member_of
Siege of cranes,siege,cranes,member_of
Fistful of coupons,fistful,coupons,member_of
Parcel of deer,parcel,deer,member_of
Smuck of jellyfish,smuck,jellyfish,member_of
Clique of renegades,clique,renegades,member_of
Array of luminaries,array,luminaries,member_of
Wunch of bankers,wunch,bankers,member_of
Throng of spectators,throng,spectators,member_of
Gulp of cormorants,gulp,cormorants,member_of
Alliance of elements,alliance,elements,member_of
Smallholders in associations,smallholders,associations,member_of
Club of residents,club,residents,member_of
Eyrar of swans,eyrar,swans,member_of
Crowd of protesters,crowd,protesters,member_of
Harem of concubines,harem,concubines,member_of
Confederation of cantons,confederation,cantons,member_of
Ratpack of architects,ratpack,architects,member_of
Coven of witches,coven,witches,member_of
Pleiad of warriors,pleiad,warriors,member_of
Bike of bees,bike,bees,member_of
Drove of cattle,drove,cattle,member_of
Visitors include waterbirds,visitors,waterbirds,member_of
Quiver of cobras,quiver,cobras,member_of
Message to mail application,message,mail application,moves_to
Corpses in wrappings,corpses,wrappings,moves_to
Spores into air,spores,air,moves_to
Piece into trunk,piece,trunk,moves_to
People into cities,people,cities,moves_to
Flights to countries,flights,countries,moves_to
Peacekeepers to region,peacekeepers,region,moves_to
Mater into saline,mater,saline,moves_to
Subtitles into files,subtitles,files,moves_to
Needle into machine,needle,machine,moves_to
Cells into tumor,cells,tumor,moves_to
Caffeine into goods,caffeine,goods,moves_to
Trillions into ventures,trillions,ventures,moves_to
Garbage into bin,garbage,bin,moves_to
Jars into cages,jars,cages,moves_to
Victim into cliff,victim,cliff,moves_to
Founders into tv,founders,tv,moves_to
Watermarks into file,watermarks,file,moves_to
Dough into pie pan,dough,pie pan,moves_to
Animation into e-post card,animation,e-post card,moves_to
Signal to process,signal,process,moves_to
Boat to beach,boat,beach,moves_to
Messages to outer space,text messages,outer space,moves_to
Refuges into region,refuges,region,moves_to
Signal into peroxisomes,signal,peroxisomes,moves_to
Art to community,art,community,moves_to
Letters to government,letters,government,moves_to
Prisoner into family,prisoner,family,moves_to
Plight to dwellers,plight,dwellers,moves_to
Substance into capsule,substance,capsule,moves_to
Sugar into coffee,sugar,coffee,moves_to
Crew into haunted locations,crew,haunted locations,moves_to
Billions into reforms,billions,reforms,moves_to
Files to programs,files,programs,moves_to
Alcohol to bar,alcohol,bar,moves_to
Sample into vial,sample,vial,moves_to
Sandwiches into knapsack,sandwiches,knapsack,moves_to
Wax into can,wax,can,moves_to
Millions into projects,millions,projects,moves_to
Probe into area,probe,area,moves_to
Champagne into glasses,champagne,glasses,moves_to
Music into slideshows,music,slideshows,moves_to
Train into truck,train,truck,moves_to
Carrier into store,mold carrier,store,moves_to
Pollution to air,pollution,air,moves_to
Tourist into jungle,tourist,jungle,moves_to
Baby bat into nest,baby bat,nest,moves_to
Shot into bunker,shot,bunker,moves_to
Boy into bathroom,boy,bathroom,moves_to
Equipment into jockey box,equipment,jockey box,moves_to
Wealth into communities,wealth,communities,moves_to
Steroids into muscles,steroids,muscles,moves_to
Questionnaires to countries,questionnaires,countries,moves_to
Empathy into poetry,empathy,poetry,moves_to
Book into store,book,store,moves_to
Pasta into territory,pasta,territory,moves_to
Horizons into basement blocks,paleogene horizons,basement blocks,moves_to
Radionuclides into stainless steel,radionuclides,stainless steel,moves_to
Citizenship to immigrant,citizenship,immigrant,moves_to
Mail into account,mail,account,moves_to
Shoe into mouth,shoe,mouth,moves_to
Boxes to users,boxes,users,moves_to
Line into article,line,article,moves_to
Message to mailman,message,mailman,moves_to
Card into camera,card,camera,moves_to
Goods into states,goods,states,moves_to
Money into education,money,education,moves_to
Issue to printer,issue,printer,moves_to
Sticker into inventory,homepage sticker,homepage inventory,moves_to
Defendant in line,defendant,line,moves_to
Effort into research,effort,research,moves_to
Drug into capsule,drug,capsule,moves_to
Spam into inbox folder,spam,inbox folder,moves_to
Patients into hospital,patients,hospital,moves_to
Luggage into vehicle,luggage,vehicle,moves_to
Seeds into stratification unit,seeds,stratification unit,moves_to
Wetlands into ditches,wetlands,ditches,moves_to
Ax to staff,ax,staff,moves_to
Wine to restaurant,wine,restaurant,moves_to
Tube into furnace,tube,furnace,moves_to
Payment into account,payment,account,moves_to
Corgis into bag,inflatable corgis,bag,moves_to
Book into software,book,software,moves_to
Letter to group,letter,group,moves_to
Soot into face,soot,face,moves_to
Clodronate into dialysate,clodronate,dialysate,moves_to
Water into eye,water,eye,moves_to
Money into economy,money,economy,moves_to
Mist into air,mist,air,moves_to
Insights into industry,insights,industry,moves_to
Tube into stomach,tube,stomach,moves_to
Liquor amnii into phial,liquor amnii,phial,moves_to
Virus to hard disk,virus,hard disk,moves_to
Violation into memory,violation,memory,moves_to
People into outer space,people,outer space,moves_to
Results into logbook,test results,logbook,moves_to
Heart into dog,heart,dog,moves_to
Water into tank,water,tank,moves_to
Saltpetre into sticks,saltpetre,sticks,moves_to
Books to library,books,library,moves_to
Goose into wild,goose,wild,moves_to
Layer into beaker,layer,beaker,moves_to
Gallon into cart,gallon,cart,moves_to
Chocolate into market,chocolate,market,moves_to
Invitation into bottle,invitation,bottle,moves_to
Trip to next month,field trip,next month,moves_to
Cores to labs,ice cores,labs,moves_to
Doses to states,doses,states,moves_to
People into orbit,people,orbit,moves_to
Income to orphanage,income,orphanage,moves_to
Corporal escaped POW train,corporal,train,originates_from
Lomo pork guava sauce,guava,sauce,originates_from
Cookies use peanut butter,peanut butter,cookies,originates_from
Signal received from direction,signal,direction,originates_from
Olive oil mediterranean diet,olive,oil,originates_from
Moths emerged from cocoon,moths,cocoon,originates_from
Basket from village manager,basket,village,originates_from
Cane sugar engineering technology,cane,sugar,originates_from
Water evaporated from paintings,water,paintings,originates_from
Soybean oil exchange standards,soybean,oil,originates_from
Name from arabic saying,name,saying,originates_from
Cabin moved from site,cabin,site,originates_from
Wings from trashed plane,wings,plane,originates_from
Court started from assumption,court,assumption,originates_from
Fountain removed from location,fountain,location,originates_from
Team away from game,team,game,originates_from
Beverage distilled from root,beverage,root,originates_from
Lady ran from monks,lady,monks,originates_from
Lather from soap friction,lather,soap,originates_from
Smoke coming from bonfire,smoke,bonfire,originates_from
Call from minnesota father,call,father,originates_from
Pictures from weeks ago,pictures,weeks,originates_from
Wife from wealthy family,wife,family,originates_from
Letter arrived from agent,letter,agent,originates_from
Writing from years ago,writing,years,originates_from
Epogen made from plasma,epogen,plasma,originates_from
Scream coming from chambers,scream,chambers,originates_from
Drive grows from drum,drive,drum,originates_from
Train from station station,train,station,originates_from
Instruments made from glacier,instruments,glacier,originates_from
Fruit wine rowan berries,fruit,wine,originates_from
Chicken away from road,chicken,road,originates_from
Vaccine manufactured in plant,vaccine,plant,originates_from
Robbers ran from store,robbers,store,originates_from
Pottery given by friend,pottery,friend,originates_from
Content from encyclopedia encarta,content,encyclopedia,originates_from
Employee departure from company,employee,company,originates_from
Pain radiating from buttock,pain,buttock,originates_from
Mushroom soup recipe helper,mushroom,soup,originates_from
Computer stolen from office,computer,church office,originates_from
Arm bit from veterinarian,arm,veterinarian,originates_from
Grain beer brewing setup,grain,beer,originates_from
Conjecture distilled from manuscript,conjecture,manuscript,originates_from
Arsenic originated in coatings,arsenic,coatings,originates_from
Guidelines from allens article,guidelines,article,originates_from
Apricot marmalade on toast,apricot,marmalade,originates_from
Tourists departure from hotel,tourists,hotel,originates_from
Plane taxies from runway,plane,runway,originates_from
Logs from previous months,logs,months,originates_from
Train leaves the station,train,station,originates_from
Dog broke from owner,dog,owner,originates_from
Tie away from wardrobes,tie,wardrobes,originates_from
Population from pacific region,population,region,originates_from
Colours derived from stylesheet,colours,stylesheet,originates_from
Answers out of computer,answers,computer,originates_from
Elements originating from earth,elements,earth,originates_from
Man ran from beach,man,beach,originates_from
Food from farmed oceans,oceans,food,originates_from
Defendant absconded from probation,defendant,probation,originates_from
Chestnut flour italian alps,chestnut,flour,originates_from
Adjective derived from noun,adjective,noun,originates_from
Apple away from tree,apple,tree,originates_from
Liquor made from fruit,liquor,fruit,originates_from
Evidence comes from orbiter,evidence,orbiter,originates_from
Boobs popped from outfit,boobs,outfit,originates_from
Whisky distilled from molasses,whisky,molasses,originates_from
Barchan runs from barchan,barchan,barchan,originates_from
Committee formed in factory,committee,factory,originates_from
Gin distilled from spirit,gin,spirit,originates_from
Tickets from ticket machines,tickets,machines,originates_from
Name comes from mythology,name,mythology,originates_from
Demonstrators descended from vehicles,demonstrators,vehicles,originates_from
Sun born in cluster,sun,cluster,originates_from
Information arrives from neurons,information,neurons,originates_from
Applicant exit from country,applicant,country,originates_from
Drug release from microcapsules,drug,microcapsules,originates_from
Sugar from fruit juice,fruit,sugar,originates_from
Memorabilia from bygone times,memorabilia,times,originates_from
Scientists from various universities,scientists,universities,originates_from
Lemon marmalade fish marinade,lemon,marmalade,originates_from
Marvels from galactic outback,marvels,outback,originates_from
Toys from the future,toys,future,originates_from
Term originates from article,term,article,originates_from
Pomegranate juice high antioxidants,pomegranate,juice,originates_from
Data derived from survey,data,survey,originates_from
Water out from oven,water,oven,originates_from
Avocado butter moisturizing treatment,avocado,butter,originates_from
Castle from castlemania contest,castle,contest,originates_from
Page from book life,page,book,originates_from
Seed oils form extraction,seed,oils,originates_from
Wine pressed from grapes,wine,grapes,originates_from
Maize liquor makes drunk,maize,liquor,originates_from
Driver ejected from car,driver,car,originates_from
Hygrometer manufactured in spring,hygrometer,spring,originates_from
Student released from jail,student,jail,originates_from
Boy ran from orphanage,boy,orphanage,originates_from
Tomato sauce lamb shank,tomato,sauce,originates_from
Train from the terminal,train,terminal,originates_from
Advice distilled from builders,advice,builders,originates_from
Goats fibre export permitted,goats,fibre,originates_from
Approximation derived from assumption,approximation,assumption,originates_from
Packet arrived from gateway,packet,gateway,originates_from
Water away from development,water,development,originates_from
Mother-in-law released from hospital,mother-in-law,hospital,originates_from
Recipe from book website,recipe,book,originates_from
Boat from port ouchy,boat,port,originates_from
Restaurant source of outbreak,restaurant,outbreak,originates_from
Patriarch left native land,patriarch,land,originates_from
Essay derived from study,essay,study,originates_from
Pop heads from dome,dome,building,part_of
Crane has section boom,crane,boom,part_of
Windscreen using jet nozzles,windscreen,nozzles,part_of
Mechanism composed of goniometer,mechanism,goniometer,part_of
System consists of lines,system,lines,part_of
Crank of fishing reel,crank,fishing reel,part_of
Casing of the refrigerator,casing,refrigerator,part_of
Birds caring for feathers,birds,feathers,part_of
Cruisers have sophisticated fittings,cruisers,fittings,part_of
Website gives detailed maps,website,maps,part_of
Chamber contains a diaphragm,chamber,diaphragm,part_of
Infrastructure comprises physical hardware,infrastructure,hardware,part_of
Car had a camera,car,camera,part_of
Padlock on security pane,padlock,pane,part_of
Pages of the magazine,pages,magazine,part_of
Servomotor driven-robot arm,servomotor,arm,part_of
Rod in hand tool,rod,tool,part_of
Machine contained shift register,machine,register,part_of
Pants pocket new design,pants,pocket,part_of
Broom side broom stick,broom,stick,part_of
Shelf of the refrigerator,shelf,refrigerator,part_of
Stern of the cruiser,stern,cruiser,part_of
Television has a screen,television,screen,part_of
Pants pocket with name,pants,pocket,part_of
Document part of series,document,series,part_of
Treatment consists of therapy,treatment,therapy,part_of
Thumb of the hand,thumb,hand,part_of
Kitchen contains noisy boiler,kitchen,boiler,part_of
Building contained central space,building,open central space,part_of
Rig combines trampoline system,rig,trampoline system,part_of
Dish made with shanks,dish,shanks,part_of
Device comprises expansion slots,device,slots,part_of
Gathering part of event,gathering,event,part_of
Necklace made with maireeners,necklace,maireeners,part_of
Films in retrospective programmes,films,programmes,part_of
Chapters later in book,chapters,book,part_of
Back of a quilt,back,quilt,part_of
Bathroom comprises wash basin,bathroom,wash basin,part_of
Servo rotates its arm,servo,wallet,part_of
Caverns located inside cave,caverns,cave,part_of
Implant contains nanoparticles,implant,nanoparticles,part_of
Conference part of kortdage,conference,kortdage,part_of
Bed has a post,bed,post,part_of
Bus connected to controller,bus,controller,part_of
Sailor list going down,sailor,list,part_of
House contains granny flat,house,granny flat,part_of
Tag element of languages,tag,languages,part_of
Eyes placed on head,eyes,head,part_of
Scene part of movie,scene,movie,part_of
Stern of the vessel,stern,vessel,part_of
Jaw joints face side,jaw,joints,part_of
Workshop accommodated invited talks,workshop,talks,part_of
Clock inside ship wheel,clock,wheel,part_of
Plan include weekly benefit,plan,weekly benefit,part_of
Components of the building,components,building,part_of
Heater has electric thermostats,heater,thermostats,part_of
Valves of the veins,valves,veins,part_of
Lid of portable computer,lid,portable computer,part_of
Skirt waistband sewn on,skirt,waistband,part_of
Cerebellum comprises brain volume,cerebellum,brain,part_of
Aisles in the supermarket,aisles,supermarket,part_of
Hall has a lift,hall,lift,part_of
Machine has semiconductor switch,machine,semiconductor_switch,part_of
Sail had important roach,sail,roach,part_of
Carpet made of strips,carpet,strips,part_of
Spring of the valve,spring,valve,part_of
Inlet of the dryer,inlet,dryer,part_of
Corbel carved with face,corbel,face,part_of
Muscles parts of body,muscles,body,part_of
Barn at a farm,barn,farm,part_of
Kangaroos have chambered stomach,kangaroos,stomach,part_of
Flapper of the valve,flapper,valve,part_of
Building contained storage rooms,building,storage rooms,part_of
Castle had two gatehouses,castle,gatehouses,part_of
Bark of tree trunk,bark,trunk,part_of
Sheets in a carton,sheets,carton,part_of
Opener has a spiral,opener,spiral,part_of
Skin of the fingers,skin,fingers,part_of
Booby trap howitzer shell,booby trap,howitzer shell,part_of
Fireplaces in the cottage,fireplaces,cottage,part_of
Molecules site of synapse,molecules,synapse,part_of
Turtle mouth controlling ball,turtle,mouth,part_of
Microwave has turntable,microwave,turntable,part_of
Scroll wheel of mouse,scroll wheel,mouse,part_of
Layout comprises computer displays,layout,computer displays,part_of
Roach on square sail,roach,sail,part_of
Steps of the ladder,steps,ladder,part_of
Breast composed of tissue,breast,tissue,part_of
Car has casette player,car,casette player,part_of
Brake cable released cable,brake,cable,part_of
Fish has a gill,fish,gill,part_of
Bedroom part of suite,bedroom,suite,part_of
Manhole cover fastening bolts,manhole,cover,part_of
Counter in the shop,counter,shop,part_of
Knob of the slider,knob,slider,part_of
Plates part of mechanism,plates,mechanism,part_of
Church comprises six portals,church,portals,part_of
Crank of the engine,crank,engine,part_of
Pedometer uses spring arm,pedometer,arm,part_of
Door knob felt loose,door,knob,part_of
Brake cable anchor bolts,brake,cable,part_of
Apartment has dining room,apartment,dining room,part_of
Batteries in the flashlights,batteries,flashlights,part_of
Facade of the building,facade,building,part_of
Rivet of the truck,rivet,truck,part_of
Pillars of a bridge,pillars,bridge,part_of
Toe of the foot,toe,foot,part_of
Figures summarise the results,figures,results,part_of
Pig has a snout,pig,snout,part_of
Lights in the shop,lights,shop,part_of
Model produced by carpenter,model,carpenter,produced_by
Author sixth book tragicomedy,author,book,produced_by
