simplified_sentence,head,tail,relation
Workmen applied blowlamp,workmen,blowlamp,used_by
Historians use evidence,historians,evidence,used_by
Dentist uses drill,dentist,drill,used_by
Thieves used blowtorch,thieves,blowtorch,used_by
Artists use tool,tool,artists,used_by
Interrogators used techniques,techniques,interrogators,used_by
Woman applies patch,woman,patch,used_by
Researchers applied probe,researchers,probe,used_by
Students mark pushpins,students,pushpins,used_by
Angel lighting lantern,angel,lantern,used_by
Biologist combines resources,biologist,resources,used_by
Author uses disassembler,author,disassembler,used_by
Thief broke screwdriver,thief,screwdriver,used_by
Researchers watered luciferin,researchers,luciferin,used_by
Teacher writes blackboard,teacher,blackboard,used_by
Script uses module,script,module,used_by
Couple relaxes coffee,couple,coffee,used_by
Carpenter wielding axe,carpenter,axe,used_by
Driver stopped car,driver,car,used_by
Artist hand-carves style,artist,style,used_by
Players flew plane,players,plane,used_by
Doctor attending mask,doctor,mask,used_by
Psychiatrist killed drugs,psychiatrist,drugs,used_by
Mechanic attaches wrench,mechanic,wrench,used_by
Painter removed tape,painter,tape,used_by
Team used nanoparticle,team,nanoparticle,used_by
Engineers use computers,engineers,computers,used_by
Students using system,students,system,used_by
Player attaches flashlight,player,flashlight,used_by
Electrician working wire,wire,electrician,used_by
Priest mixes spoon,priest,spoon,used_by
Horse carrying rider,horse,rider,used_by
Mathematicians used method,method,mathematicians,used_by
Mechanic fix screwdriver,mechanic,screwdriver,used_by
Man delivers cutter,man,cutter,used_by
Students learn computers,students,computers,used_by
Painter complete roller,painter,roller,used_by
Army scaled maneuver,army,maneuver,used_by
Parents killed pills,parents,pills,used_by
People rise language,people,language,used_by
Photographer creates camera,photographer,camera,used_by
Judge pounded gavel,judge,gavel,used_by
User machined broach,user,broach,used_by
Plants obtain analysis,plants,analysis,used_by
Guy cleaned swab,guy,swab,used_by
Convicts capture weirs,convicts,weirs,used_by
Petrol starts lawnmower,petrol,lawnmower,used_by
Puppeteer manipulates puppet,puppeteer,puppet,used_by
Loom featuring weaver,loom,weaver,used_by
Members scaled rope,members,rope,used_by
Author uses repetition,author,repetition,used_by
Hermit demonstrates bow,hermit,bow,used_by
User regular road,road,user,used_by
President wields power,president,power,used_by
Agents turning telepresence,travel agents,telepresence,used_by
Barber downed scissors,barber,scissors,used_by
Friend cooks cooker,friend,cooker,used_by
Student creates program,student,program,used_by
Workman stirs hoe,workman,hoe,used_by
Spotter sweeps lamp,spotter,lamp,used_by
Climber throws grappling hook,climber,grappling hook,used_by
Stethoscope gives doctor,stethoscope,doctor,used_by
Violinist produces bow,violinist,bow,used_by
Potter wheel formed,potter,wheel,used_by
River powered mill,river,grist mill,used_by
Governments resolved subsidization,governments,subsidization,used_by
Driver seat car,driver,seat,used_by
Painters use tarps,tarps,painters,used_by
Accused killed kirpan,accused,kirpan,used_by
Student textbooks typical,student,textbooks,used_by
Outfielder needs glove,outfielder,glove,used_by
Man watched window,man,window,used_by
Carpenter built model,model,carpenter,produced_by
Author wrote book,author,book,produced_by
Technician produced data,data,technician,produced_by
Brothers created alphabet,brothers,alphabet,produced_by
Scribe wrote spec,spec,scribe,produced_by
Sultan built walls,walls,sultan,produced_by
Scientist wrote program,program,bio-scientist,produced_by
Body produced output,output,body,produced_by
Gallery released release,release,gallery,produced_by
Attacker developed idea,attacker,idea,produced_by
Artists created piece,artists,piece,produced_by
Daughter made comments,daughter,comments,produced_by
Maker made map,map,maker,produced_by
State created church,church,state,produced_by
Godmother produced footmen,godmother,footmen,produced_by
People produced sugar,people,sugar,produced_by
Plant produced turbine,turbine,plant,produced_by
Critic made comment,comment,critic,produced_by
Prescriber makes prescription,prescriber,prescription,produced_by
Team developed batteries,batteries,team,produced_by
Researcher wrote paper,researcher,paper,produced_by
Panel published report,panel,report,produced_by
Panel makes recommendation,panel,recommendation,produced_by
Reporters constructed explanations,reporters,explanations,produced_by
Director produced film,film,director,produced_by
Company produced landscape,landscape,company,produced_by
Company carved benches,company,benches,produced_by
Speaker opens question,speaker,question,produced_by
Designer designed hotel,designer,hotel,produced_by
Army built wall,army,wall,produced_by
Inventor produced principle,inventor,principle,produced_by
Factory produced rifles,factory,rifles,produced_by
Daughter sewed sack,daughter,sack,produced_by
Monasteries produced beer,beer,monasteries,produced_by
Designer made plan,plan,designer,produced_by
Scientists wrote letter,scientists,letter,produced_by
Wren builds nests,wren,nests,produced_by
Engineers manufacture parts,engineers,parts,produced_by
Banker used hotel,banker,hotel,produced_by
Authors approved draft,draft,scientist-authors,produced_by
People produced pottery,people,pottery,produced_by
Mill makes textile,textile,mill,produced_by
Compiler generates code,compiler,code,produced_by
Author expanded book,book,author,produced_by
Group established bases,group,bases,produced_by
Brothers designed design,design,brothers,produced_by
Manufacturer made response,manufacturer,response,produced_by
Observer wrote novel,novel,observer,produced_by
Official gave description,official,description,produced_by
Company produced oil,company,oil,produced_by
Comedian created character,character,comedian,produced_by
Sun produced shadows,shadows,sun,produced_by
Settlers dug ditch,settlers,ditch,produced_by
Laboratory made magnets,laboratory,magnets,produced_by
Boy made threat,boy,threat,produced_by
Painter made marks,painter,marks,produced_by
Manufacturer made pledge,manufacturer,pledge,produced_by
Mites construct burrows,mites,burrows,produced_by
Prisoners created trapdoors,prisoners,trapdoors,produced_by
Group constructed home,home,group,produced_by
Artist drew cartoon,artist,cartoon,produced_by
Loved-ones designed panels,panels,loved ones,produced_by
Chimps make rods,chimps,rods,produced_by
Demonstrators composed figure,demonstrators,figure,produced_by
Factory sold cars,factory,cars,produced_by
Wrestlers formed wedge,wrestlers,wedge,produced_by
Narrator gave speech,speech,narrator,produced_by
Star made documentary,star,documentary,produced_by
Coordinators designed questionnaire,questionnaire,coordinators,produced_by
Instructor makes presentation,instructor,presentation,produced_by
Larvae caused galls,galls,larvae,produced_by
Factory-class manufactures objects,factory class,objects,produced_by
Composer interjected song,song,composer,produced_by
Member took photograph,photograph,member,produced_by
Workgangs built track,workgangs,track,produced_by
Industry unleashes crap,industry,crap,produced_by
Fiancee completed message,fiancee,message,produced_by
Discoverer writes citation,discoverer,citation,produced_by
Artist conjured coat,coat,artist,produced_by
Oracle produced answers,oracle,answers,produced_by
Fish produced eggs,fish,eggs,produced_by
Monitor provides report,monitor,report,produced_by
Soldiers built wall,soldiers,wall,produced_by
Office employed design,design,office,produced_by
Vintners produced wine,wine,vintners,produced_by
Software uses marks,software,marks,produced_by
Company made collection,company,collection,produced_by
Provider made advertisement,advertisement,provider,produced_by
Courts created test,courts,test,produced_by
Defendant made statement,defendant,statement,produced_by
Media creates reports,media,reports,produced_by
Plants bore grain,plants,grain,produced_by
Builder built communities,communities,builder,produced_by
Scientist wrote papers,scientist,papers,produced_by
Producer produced cigarettes,cigarettes,producer,produced_by
Court made order,court,order,produced_by
Daughter sewed jumper,jumper,daughter,produced_by
Physician developed vibrator,vibrator,physician,produced_by
Craftsman built hat,craftsman,hat,produced_by
Company made mug,company,mug,produced_by
Company received request,request,company,produced_by
Quilters produced works,works,quilters,produced_by
Person makes will,person,will,produced_by
Mason built plazas,mason,plazas,produced_by
Company made decision,company,decision,produced_by
Maker produced apps,maker,apps,produced_by
Villains constructed buildings,buildings,villains,produced_by
Industry led wool,wool,industry,produced_by
Company made legs,legs,company,produced_by
Composer left sketches,sketches,composer,produced_by
Book refutes claims,claims,nature,talks_about
Letter informs study,letter,study,talks_about
Movie depicts hours,movie,hours,talks_about
Book criticizes writings,book,writings,talks_about
File describes settings,file,settings,talks_about
Adventures form films,adventures,films,talks_about
Comments regarding adherence,comments,adherence,talks_about
Sections involve markets,sections,markets,talks_about
Paper presents results,paper,results,talks_about
Speech discusses affairs,speech,affairs,talks_about
Book develops congruence,book,development,talks_about
Glamour subject exhibition,glamour,exhibition,talks_about
List highlights talent,list,talent,talks_about
Poster advertises exhibition,poster,exhibition,talks_about
Magazine informs science,magazine,science,talks_about
Results investigate usage,results,investigations,talks_about
Article details music,article,music,talks_about
Question concerns extent,question,extent,talks_about
Talk highlights need,talk,need,talks_about
Summary covers aspects,summary,aspects,talks_about
Series charts fortunes,television series,fortunes,talks_about
Newsletter informs work,newsletter,work,talks_about
Messages outline romance,messages,romance,talks_about
Film portrays girls,film,girls,talks_about
Manuscripts concern aspects,manuscripts,aspects,talks_about
Disparity topic dissertation,disparity,dissertation,talks_about
Government receives criticism,government,criticism,talks_about
Legend features village,legend,village,talks_about
Chapter introduces algorithms,chapter,algorithms,talks_about
Newsletter informs exhibitions,newsletter,exhibitions,talks_about
Report presents case,report,case,talks_about
Scenes subject paintings,scenes,paintings,talks_about
Health data developed,health,data,talks_about
Special explains term,special,term,talks_about
Report compares structure,study report,genetic structure,talks_about
Volume features religious,volume,religious,talks_about
Flyers supply information,flyers,company information,talks_about
Papers feature chemistry,papers,chemistry,talks_about
Regulations govern refunds,regulations,refunds,talks_about
Request involves call,request,phone call,talks_about
Allegations regarding behaviour,allegations,behaviour,talks_about
Report investigates migration,report,migration,talks_about
Treatises assert obligation,treatises,obligation,talks_about
Documents define policies,documents,policies,talks_about
Diagram illustrates principle,diagram,principle,talks_about
Debate concerns value,debate,value,talks_about
Songs discuss sex,songs,sex,talks_about
Book relates battles,book,battles,talks_about
Plans address needs,plans,needs,talks_about
Programmes explore games,programmes,games,talks_about
Invoice indicates products,invoice,products,talks_about
Plot centers goldfish,plot,goldfish,talks_about
Convention addresses rights,convention,rights,talks_about
Films featuring man,films,man,talks_about
Questions concern salary,questions,salary,talks_about
Film features philosophers,film,philosophers,talks_about
Structure introduced chapter,data structure,chapter,talks_about
Presentation attributes status,presentation,status,talks_about
Course focus theory,course,theory,talks_about
Charts specify genre,charts,musical genre,talks_about
Subject generates discussion,subject,discussion,talks_about
Cover analyzed article,cover,article,talks_about
Theory supplies answer,theory,answer,talks_about
Letter describes symptoms,letter,symptoms,talks_about
Thesis provides information,thesis,background information,talks_about
Negotiations address training,negotiations,apprentice training,talks_about
Book features euthanasia,book,euthanasia,talks_about
Book features character,book,character,talks_about
Drama concerns girl,drama,girl,talks_about
Article highlights food,article,food,talks_about
Needs investigated survey,needs,survey,talks_about
Clause mentions pension,clause,pension,talks_about
Guide details resources,guide,resources,talks_about
Configurations shown drawings,configurations,drawings,talks_about
Report investigates application,report,application,talks_about
Notes survey state,notes,state,talks_about
Allegations concern suffocation,allegations,prisoner suffocation,talks_about
Speech criticises north,speech,north,talks_about
Information found sentence,information,sentence,talks_about
Conversation concerns privacy,conversation,privacy,talks_about
Arguments concern practice,arguments,practice,talks_about
Projects involve justice,projects,social justice,talks_about
Conclusion highlights importance,conclusion,importance,talks_about
Serial charts dynasty,serial,dynasty,talks_about
Clip describes investment,clip,investment,talks_about
Works investigate relationship,works,relationship,talks_about
Evening described letter,evening,letter,talks_about
Argumentation concerns speed,argumentation,speed,talks_about
Novels feature themes,novels,themes,talks_about
Table indicates party,table,party,talks_about
Book discusses history,book,history,talks_about
Negotiations concern protocol,negotiations,protocol,talks_about
Study features plants,study,flowering plants,talks_about
Comments regarding decision,comments,decision,talks_about
Legend mentions mausoleum,local legend,mausoleum,talks_about
Laws define crimes,laws,crimes,talks_about
Study considered farms,study,farms,talks_about
Themes within novel,themes,novel,talks_about
Document investigates violence,document,violence,talks_about
Introduction provides background,introduction,background,talks_about
Measures address procedures,measures,procedures,talks_about
Story depicts ugliness,story,ugliness,talks_about
Draft distinguishes distinction,draft,distinction,talks_about
Chapter details architecture,chapter,architecture,talks_about
Motion concerns conference,motion,conference,talks_about
Portrait appears paintings,portrait,paintings,talks_about
Technique explained issue,technique,issue,talks_about
Convention addresses kidnapping,convention,kidnapping,talks_about
Years feature discussion,early years,discussion,talks_about
Manuscript describes features,manuscript,features,talks_about
Dome tops building,dome,building,part_of
Boom joins crane,boom,crane,part_of
Nozzles fit windscreen,nozzles,windscreen,part_of
Goniometer forms mechanism,mechanism,goniometer,part_of
Lines compose system,lines,system,part_of
Crank turns reel,crank,fishing reel,part_of
Casing covers refrigerator,casing,refrigerator,part_of
Feathers cover birds,feathers,birds,part_of
Fittings equip cruisers,fittings,cruisers,part_of
Maps detail website,maps,website,part_of
Diaphragm fits chamber,diaphragm,chamber,part_of
Hardware builds infrastructure,hardware,infrastructure,part_of
Camera aids car,car,camera,part_of
Pane holds padlock,padlock,pane,part_of
Pages form magazine,pages,magazine,part_of
Arm joins servomotor,servomotor,arm,part_of
Rod fits tool,rod,tool,part_of
Register forms machine,machine,register,part_of
Pocket joins pants,pants,pocket,part_of
Stick forms broom,broom,stick,part_of
Shelf fits refrigerator,shelf,refrigerator,part_of
Stern joins cruiser,stern,cruiser,part_of
Screen forms television,television,screen,part_of
Pocket joins pants,pants,pocket,part_of
Document forms series,document,series,part_of
Therapy forms treatment,treatment,therapy,part_of
Thumb joins hand,thumb,hand,part_of
Boiler fits kitchen,kitchen,boiler,part_of
Space forms building,building,open central_space,part_of
Trampoline forms rig,rig,trampoline_system,part_of
Shanks form dish,dish,shanks,part_of
Slots join device,device,slots,part_of
Gathering forms event,gathering,event,part_of
Maireeners form necklace,necklace,maireeners,part_of
Programmes form films,films,programmes,part_of
Chapters form book,chapters,book,part_of
Back joins quilt,back,quilt,part_of
Basin fits bathroom,bathroom,wash_basin,part_of
Servo joins wallet,servo,wallet,part_of
Caverns form cave,caverns,cave,part_of
Nanoparticles form implant,implant,nanoparticles,part_of
Conference forms kortdage,conference,kortdage,part_of
Post joins bed,bed,post,part_of
Bus joins controller,bus,controller,part_of
List joins sailor,sailor,list,part_of
Flat forms house,house,granny_flat,part_of
Tag forms languages,tag,languages,part_of
Eyes join head,eyes,head,part_of
Scene forms movie,scene,movie,part_of
Stern joins vessel,stern,vessel,part_of
Jaw joins joints,jaw,joints,part_of
Talks form workshop,workshop,talks,part_of
Clock joins wheel,clock,wheel,part_of
Benefit forms plan,plan,weekly_benefit,part_of
Components form building,components,building,part_of
Thermostats join heater,heater,thermostats,part_of
Valves join veins,valves,veins,part_of
Lid joins computer,lid,portable_computer,part_of
Waistband joins skirt,skirt,waistband,part_of
Cerebellum forms brain,cerebellum,brain,part_of
Aisles form supermarket,aisles,supermarket,part_of
Lift joins hall,hall,lift,part_of
Switch joins machine,machine,semiconductor_switch,part_of
Roach joins sail,sail,roach,part_of
Strips form carpet,carpet,strips,part_of
Spring joins valve,spring,valve,part_of
Inlet joins dryer,inlet,dryer,part_of
Face joins corbel,corbel,face,part_of
Muscles form body,muscles,body,part_of
Barn joins farm,barn,farm,part_of
Stomach forms kangaroos,kangaroos,stomach,part_of
Flapper joins valve,flapper,valve,part_of
Rooms form building,building,storage_rooms,part_of
Gatehouses join castle,castle,gatehouses,part_of
Bark joins trunk,bark,trunk,part_of
Sheets form carton,sheets,carton,part_of
Spiral joins opener,opener,spiral,part_of
Skin joins fingers,skin,fingers,part_of
Shell forms boobytrap,booby trap,howitzer_shell,part_of
Fireplaces form cottage,fireplaces,cottage,part_of
Molecules form synapse,molecules,synapse,part_of
Mouth joins turtle,turtle,mouth,part_of
Turntable joins microwave,microwave,turntable,part_of
Wheel joins mouse,scroll wheel,mouse,part_of
Displays form layout,layout,computer_displays,part_of
Roach joins sail,roach,sail,part_of
Steps join ladder,steps,ladder,part_of
Tissue forms breast,breast,tissue,part_of
Player joins car,car,casette_player,part_of
Brake joins cable,brake,cable,part_of
Gill forms fish,fish,gill,part_of
Bedroom forms suite,bedroom,suite,part_of
Manhole joins cover,manhole,cover,part_of
Counter joins shop,counter,shop,part_of
Knob joins slider,knob,slider,part_of
Plates form mechanism,plates,mechanism,part_of
Portals form church,church,portals,part_of
Crank joins engine,crank,engine,part_of
Arm joins pedometer,pedometer,arm,part_of
Door joins knob,door,knob,part_of
Brake joins cable,brake,cable,part_of
Room joins apartment,apartment,dining_room,part_of
Batteries join flashlights,batteries,flashlights,part_of
Facade joins building,facade,building,part_of
Rivet joins truck,rivet,truck,part_of
Pillars join bridge,pillars,bridge,part_of
Toe joins foot,toe,foot,part_of
Figures form results,figures,results,part_of
Snout joins pig,pig,snout,part_of
Lights join shop,lights,shop,part_of
