simplified_sentence,head_entity,tail_entity,relation
the barbarian invasions of the fifth century were triggered by the destruction of the gothic kingdoms by the huns in 372-375.,invasions,destruction,cause_effect
the new cigarettes cause headaches and nausea and contain dangerous chemicals.,cigarettes,nausea,cause_effect
there was a serious increase in the acidity of the seas caused by the acid rains.,increase,rains,cause_effect
"anthony finds inspiration in a beautiful, enigmatic older woman who teaches him to follow his heart and find happiness through swing dancing.",happiness,dancing,cause_effect
chronic daily headaches are tension headaches or headaches which are caused by taking too many pain killers.,tension,headaches,cause_effect
"this program is an effective step to mitigate damage from hurricanes, but let us not forget this is a retroactive measure.",damage,hurricanes,cause_effect
addiction and poverty lead to neglect and abuse.,addiction,neglect,cause_effect
"a common side effect of strict elimination after extended periods of use is headaches from caffeine withdrawal, which is also a clear sign of the addiction.",headaches,caffeine withdrawal,cause_effect
mechanical faults caused delays and cancellations on wellington's suburban train services this morning.,faults,cancellations,cause_effect
an important challenge for the new administration was to address the insecurity and poverty caused by civil war.,insecurity,war,cause_effect
"there are many types and causes of headaches, from tension headaches due to stress to migraines triggered by certain foods.",tension,headaches,cause_effect
"the cramps are caused by the anxiety reaction but because the sufferer has high anxiety, they can be interpreted in other ways; fears grow and the anxiety worsens.",cramps,anxiety reaction,cause_effect
my first encounter in my luxurious hotels casino was the sound of a woman behind the roulette wheels screaming for joy after hitting the 12225.00 jackpot.,joy,hitting,cause_effect
the destruction caused by the bombing of attorney general palmer's home.,destruction,bombing,cause_effect
"arcane subtlety reduced the threat caused by polymorph by 40% at max rank, though the threat caused by the spell is minimal.",threat,spell,cause_effect
"the charge is the source of an electric field, which carries energy-the electrostatic self-energy.",charge,field,cause_effect
"the report links conditions in some of the worst affected localities and the likelihood that dire poverty - combined with despair and outrage over rampant corruption, repressive policies, and governments' failure to address local needs - could lead to outbreaks of localised unrest with the potential to spread into a wider regional conflict.",outrage,corruption,cause_effect
but by far the most frequent tsunami-maker is the buckling of the seafloor caused by an undersea earthquake.,buckling,earthquake,cause_effect
a neoplastic recurrence arose from an extensive radiation induced ulceration.,recurrence,radiation,cause_effect
an alert victim with a broken neck or severely torn ligament has enough discomfort from the injury and muscle spasm to force him to hold his neck still.,discomfort,injury,cause_effect
the analysis device instigates the termination of the connection.,device,termination,cause_effect
"notwithstanding problems associated with screening, many of those cancers were caused by radiation exposures shortly after the accident.",cancers,radiation exposures,cause_effect
"it took a long time to undo the damage that has been caused by the crisis of confidence, damage whose effects are just now beginning to make themselves felt in a slow, glacial collapse.",damage,crisis,cause_effect
"the earthquake caused a bulrush marsh at west point, on the puget sound shore in seattle, to drop and the tsunami deposited sand on top of the marsh.",earthquake,marsh,cause_effect
one of the largest internet piracy rings in the world has been shut down in a police operation that resulted in the arrest of 181 people.,operation,arrest,cause_effect
scientific progress comes from breakthroughs and breakthroughs by their very nature are unpredictable and surprising in their impact.,progress,breakthroughs,cause_effect
this article discusses the ethics of the soldier of fortune's guns-for-hire advertisements that resulted in several murders across the united states.,advertisements,murders,cause_effect
the infection came from a wound.,infection,wound,cause_effect
but the discomfort caused by the ointment and the duration of treatment often result in non-compliance.,discomfort,ointment,cause_effect
highly viscous lavas lead to a violent eruption.,lavas,eruption,cause_effect
the evacuation after the chernobyl accident was poorly planned and chaotic.,evacuation,accident,cause_effect
"in conclusion, incubation of the aorta produces a specific reduction in agonist-evoked contraction.",incubation,reduction,cause_effect
"properties of the soils developed from the amphibolites of santiago-ponte ulla, spain.",properties,amphibolites,cause_effect
the bombing produced the worst carnage since a nov. 23 attack in the shi'ite slum of sadr city that killed more than 200 people.,bombing,carnage,cause_effect
plantar warts are caused by a virus that infects the outer layer of skin on the soles of the feet.,warts,virus,cause_effect
many depression sufferers and their physicians revealed that insomnia was caused by depression.,insomnia,depression,cause_effect
"the studies revealed that skin irritation from soaps, inaccessibility to supplies or sinks, and insufficient time to wash hands between every patient care contact were the main reasons given by healthcare workers for lack of handwashing compliance.",irritation,soaps,cause_effect
"mixed in equal parts with peppermint, elder flowers help reduce the fevers and aches caused by colds and the flu.",fevers,colds,cause_effect
"on the other hand, the higher the satisfaction from the purchase, the greater the benefit of word-of-mouth referrals and repeat purchasing.",satisfaction,purchase,cause_effect
"on my backpacking trip, the insoles caused a hot spot on the left side of my right heel and a blister on the right side of my left heel.",insoles,spot,cause_effect
district judge without a jury and judgment was entered for the defendants on the ground that the accident was caused by the plaintiff's own negligence.,accident,negligence,cause_effect
the afterglow is produced by shock waves in the jets of tenuous gas that shoot from the blast at almost the speed of light.,afterglow,shock waves,cause_effect
good breeding consists of concealing how much we think of ourselves and how little we think of the other person.,breeding,concealing,cause_effect
"the living vaccine, caused a sharp temperature elevation on the day following the second injection.",vaccine,temperature elevation,cause_effect
nurses' militancy stemmed from two different kinds of experiences.,militancy,experiences,cause_effect
his death during one of the portuguese raids caused the abandonment of the settlement.,death,abandonment,cause_effect
"yet on the whole, given the constraints of sticking so closely to the original book, the developer has crafted a thoroughly pleasing puzzle adventure.",developer,adventure,cause_effect
by avoiding or limiting contact with trash the chance of contracting germs that lead to sickness or disease is decreased.,germs,sickness,cause_effect
"the halting of easy profits from inflation brought on a banking crisis, which resulted in a complete restructuring of the industry during the late 1990s.",profits,inflation,cause_effect
"the cow makes a sound called lowing, also known as mooing.",cow,sound,cause_effect
"soya farming is one of the main causes of tropical deforestation, which currently produces a fifth of global climate change.",soya farming,deforestation,cause_effect
"this article goes some wat towards, identifying some of the conflicts arose from the previous and present agricultural development.",conflicts,development,cause_effect
"and it is why we are even prouder to announce that the appeal - thanks to the generosity of our readers - has raised 26,000 pounds, despite the hardship that has been caused by the recession.",hardship,recession,cause_effect
the boom and shaking was caused by the asteroid that passed earth yesterday.,boom,asteroid,cause_effect
infectious mononucleosis due to the epstein-barr virus causes exudative tonsillitis or pharyngitis in about one-half of cases.,virus,tonsillitis,cause_effect
but the earthquake triggered by the eruption of thera struck first.,earthquake,eruption,cause_effect
"general information about the infection caused by the bacteria called salmonella, when food is eaten raw or undercooked.",infection,bacteria,cause_effect
special articles specifically on gas corrosion and stress corrosion are also available in the literature.,stress,corrosion,cause_effect
"when the first model sank in august 1991, the crash caused a seismic event registering 3.0 on the richter scale, and left nothing but a pile of debris at 220m of depth.",crash,seismic event,cause_effect
"these germs cause several kinds of illnesses, such as diarrhea, meningitis or a cold.",germs,diarrhea,cause_effect
the warmth was radiating from the fireplace to all corners of the room.,warmth,fireplace,cause_effect
"so solar thermal power generation works essentially the same as generation from fossil fuels except that instead of using steam produced from the combustion of fossil fuels, the steam is produced by the heat collected from sunlight.",steam,heat,cause_effect
many viral infections that cause rash resolve within several days and require no medication.,infections,rash,cause_effect
that happens when the media makes a mistake.,media,mistake,cause_effect
"dehydration from fluid loss is the only major problem the virus causes, most often in the elderly.",dehydration,loss,cause_effect
"the effect of pain relief by acupuncture lasts for an extended period of time, sometimes months after the needle was removed.",relief,acupuncture,cause_effect
we store the cards in a matching box.,cards,box,in
my grandmother came here when she was 17 years old with nothing but a suitcase full of oranges.,suitcase,oranges,in
"the bowl contained apples, pears, and oranges.",bowl,apples,in
"given the choice, i much prefer to have products with natural ingredient than have a bottle full of chemicals.",bottle,chemicals,in
"a traffic stop for speeding tuesday afternoon in troup county led to the seizure of more than $540,000 in currency that was hidden in buckets of roofing tar.",currency,buckets,in
this set of buttons comes with the colorful printed paper insert placed inside of the gum machine.,insert,machine,in
the pizza dough was in a bin on the floor.,pizza dough,bin,in
"the anthrax was in a suitcase, on its way to canada.",anthrax,suitcase,in
police investigating the discovery of a severed head on a british beach have found a suitcase full of body parts in a nearby harbour.,suitcase,body parts,in
ten years ago i started bringing a suitcase full of odd props to schools and libraries all over the world.,suitcase,props,in
"then i swept up the dust, which looked like sawdust, and put it in a plastic container, which was in a cabinet under the granite counter top.",plastic container,cabinet,in
"the drawer contained ""a phial of some tincture, a paper of some salt, and a record of a series of experiments"".",drawer,phial,in
it showed a photo of it being enclosed in a black plastic case and the disc was enclosed in paper.,disc,paper,in
"an israeli woman mistakenly threw out a mattress with money inside, setting off a frantic search through tons of garbage at a number of landfill sites.",mattress,money,in
we keep the box in a desk drawer and use the removable four-compartment tray to organize cash and valuables.,box,desk drawer,in
"when i opened the box, the cheesecake was inside a silver foil container.",cheesecake,container,in
you noticed the three numbers at the bottom of a fertilizer package.,fertilizer,package,in
"when i came, the second group of popcorn kernels was stored in the refrigerator, and the third group was stored in the freezer.",group,refrigerator,in
the bomb was contained in a suitcase and was planted by two men.,bomb,suitcase,in
i got the idea after getting a bottle with an apple in it as a gift from a cousin.,bottle,apple,in
today i was there and i bought a ball that was in a bin with a ton of things placed on top of it.,ball,bin,in
he was shocked to find the mixes were in a box in his garage that was in mortal danger because rats had used it for nesting.,mixes,box,in
"no one found the handcuff key, which was hidden in a small pouch in his gym shorts.",key,pouch,in
in japan i was able to bring a bottle with water in it through security on my way to singapore.,bottle,water,in
britain's oldest surviving human brain was discovered inside a decapitated skull placed in a small pit near york.,brain,skull,in
this cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage barbie clothing.,dress,trunk,in
an aborted 7-month-old fetus was found in a gift box under a christmas tree.,fetus,box,in
the mp3 player was inside a silicone case that covered everything but the click wheel and the screen.,player,silicone case,in
my dog ate a cellophane bag full of dog treats on tuesday.,cellophane bag,dog treats,in
the monitor was enclosed in the lid of the wire recorder case.,monitor,lid,in
the backflap was in a suitcase in the trunk of the car.,backflap,suitcase,in
this is usually accomplished by placing the ball in a wire basket or container that substantially conforms to the shape of the ball.,ball,basket,in
the locker contained a big fluffy robe for me to change into.,locker,robe,in
a customer shopping at a walmart in falmouth found 10 human teeth in a wallet he was about to purchase.,teeth,wallet,in
a bottle with cereal in it contains more calories than the bottle alone so it can set your baby up for some overeating habits.,bottle,cereal,in
"the other contents of the suitcase included gym shoes, dirty sweat socks, limburger cheese, scented oils, and a severely poop stained armani suit.",suitcase,gym shoes,in
a gas is enclosed in a container fitted with a piston of cross-sectional area 0.10 mz.,gas,container,in
"on the table, a potato slice was already placed in a beaker of distilled water.",slice,beaker,in
some of that blood was in a bottle in the operating room though the record is not clear as to how it got there.,blood,bottle,in
"typically, the maximum heat generated from 24 fuel assemblies stored in a cask is less than that given off by a typical home heating system in an hour.",assemblies,cask,in
the balance of the loot was in a box in the garage.,loot,box,in
"the contents of the bear's stomach included apple mash, corn and blueberries.",stomach,apple mash,in
i sent you a suitcase with cash in it so you can fill it up with wine gummies.,suitcase,cash,in
the first mass marketed toothpaste was in a jar from colgate with the tubes we know today coming into existence in 1896.,toothpaste,jar,in
ferrets in a sack show more politesse.,ferrets,sack,in
here is a detective story involving some scientists and their efforts to explain the origins of a mysterious garment found in a reliquary.,garment,reliquary,in
but solomon had arranged that the only water in the palace was in a jar by his bed.,water,jar,in
the bag was stored in a sack.,bag,sack,in
the total contents of the purse included a cell phone and wallet valued at $120.,contents,cell phone,in
"i carried a bag with condoms in it, and i gave them out.",bag,condoms,in
"finally, they found out that the letter was placed inside a pocket notebook that donna owned.",letter,pocket notebook,in
"the shelves contained books with sinister-sounding titles, such as crime and punishment, days of wrath, death walks among you and a few others.",shelves,books,in
"the contents of the boxes included phone cards, disposable cameras and razors, travel-size toiletries, snack food, and lots of candy.",boxes,phone cards,in
"to separate the solids at the end of the experiment, the clay was contained in a semi- permeable membrane tubing.",clay,membrane tubing,in
"the kitchen contains basic items such as salt, pepper and olive oil.",kitchen,salt,in
the election judges found in a ballot box some ballots that were not the kind properly belonging in it; they've put those ballots aside.,ballot box,ballots,in
all of the data is stored in a microsoft access database.,data,database,in
"one pottery vessel lay on her breast, and the body was enclosed in a reed mat.",body,mat,in
he removed the glass slide precleaned in piranha solution that was placed upright in a beaker.,slide,beaker,in
the painting was in a crate from which it had not been unpacked since its return from an exhibition in oklahoma city a year ago.,painting,crate,in
the database's contents comprise more than 150000 images covering the early 1970s to 1994.,database,images,in
about 3% of 2-4 year olds show marked dental decay due to sleeping with a bottle full of juice or milk.,bottle,juice,in
the memory is stored in the same neurons that responded to the odor.,memory,neurons,in
"after the cashier put the cash in a bag, the robber saw a bottle of scotch that he wanted behind the counter on the shelf.",cash,bag,in
the winner has received the years worth of beauty products in a hamper.,products,hamper,in
the conventional way to grow bacteria is to inoculate a flask that contains a broth of nutrients.,flask,broth,in
"the journal was inside a box of items given to him and his wife by his stepfather, after his mother's passing, which they never sorted through but kept stored in a garage.",journal,box,in
the sample was contained in a tightly sealed silver crucible.,sample,silver crucible,in
i hold the stocks in an individual retirement account.,stocks,retirement account,in
we served a bowl of delicious soup in a dish of ivory china.,soup,dish,in
"when a bottle full of honey was weighed, its weight was 1 kilogram.",bottle,honey,in
a pack of the most popular cigarettes in the seychelles in 2008 cost $15 at purchasing-power parity (ppp).,pack,cigarettes,in
i gotta a bottle full of snake oil with a label made of rainbows.,bottle,snake oil,in
in my case the disk was inside a jewel case which was itself inside the mailing box.,disk,jewel case,in
"in her dentist dad's office, with the help of her brother norman she finds a bottle full of pulled teeth.",bottle,teeth,in
the ovarian tumour was put inside a plastic bag before retrieval.,tumour,bag,in
"this is movingly symbolised in the film in the way that people's homes were bare, all their memories and pictures were in a box.",pictures,box,in
"oh, so this was all about a trash bag with money in it.",trash bag,money,in
the sword was stored in a case full of gold and jewels.,sword,case,in
my chihuahua ate a tea bag of green tea within the last two hours.,tea,bag,in
"when it arrived, the kapok fiber was sealed in vinyl plastic packets to prevent exposure to the water.",kapok fiber,plastic packets,in
the pontiff's body was contained in a plain cypress coffin.,body,cypress coffin,in
"scientists store the bones in a freezer, helping to preserve the remaining dna that has been exposed to soil for three decades.",bones,freezer,in
a passenger was taken into custody after trying to bring a suitcase full of cocaine onto a plane at philadelphia international airport.,suitcase,cocaine,in
the lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces.,lawsonite,platinum crucible,in
the dress was in a trunk dated summer of 1938 along with several other dresses from this same period.,dress,trunk,in
an explosive was hidden in a condom or condom-like bag just below his torso.,explosive,condom,in
her clothes were in a box with no lid sitting on the next higher step.,clothes,box,in
the weight of the groceries in a shopping basket and the number of items in a shopping basket are discrete quantities.,groceries,basket,in
we kept raw eggs in a dish in the fridge for too long.,eggs,dish,in
the lithium was contained in a stainless steel tray in two semicircular halves at the bottom of the vacuum vessel.,lithium,stainless steel tray,in
the teacher retirement poem on parchment is a customized poem printed on parchment and enclosed in a black certificate holder.,poem,certificate holder,in
"at police headquarters, the list of hidden initials was forgotten locked in a safe in the office of the squad's boss.",list,safe,in
the grenade was inside a tin alongside the hotel fence.,grenade,tin,in
the liberian national offered a suitcase full of purported bills.,suitcase,bills,in
"when a bottle full of air is opened under water, the water will not enter the bottle.",bottle,air,in
"when she had her last surgery in march, her grandma got her a suitcase with new pajamas in it.",suitcase,pajamas,in
"the bomb was hidden in a handcart near the mar toma church, also known as church of st. thomas, in the city of mosul.",bomb,handcart,in
an unexploded bomb was discovered inside a powdered milk can two months ago.,bomb,can,in
he had a suitcase full of new clothing bought from new york and took a flight to india from heathrow.,suitcase,clothing,in
mobile lost in the ocean was found in a cod belly.,mobile,belly,in
the aerosmith game was in a bin over on the other side of the store.,game,bin,in
my little brother's tooth was in a cup of water the other day and i nearly fainted when i saw it.,tooth,cup,in
the contents of the box were a present and the box itself was as a present.,box,present,in
a basket such as you mention holds four ears of corn.,basket,ears,in
the sample was contained in a 5-mm glass tube surrounded by oscillator and receiver coils at right angles to one another.,sample,glass tube,in
the man was bluffing because the bomb was in a can of orange juice that had been served by the airline itself.,bomb,can,in
"the tea bag was in a mug, which made the whole process more straightforward.",tea bag,mug,in
my mint julep was in a glass i still own.,mint julep,glass,in
a rasher of bacon was found in a returned book by a worthing librarian.,rasher,book,in
"using a pencil of lines, a new restriction on the location of ovals of a nonsingular plane curve is obtained.",pencil,lines,member_of
"its menu includes customary chinese dishes, such as sweet and sour pork and cashew chicken, but it also lists some uncommon choices such as lemongrass chicken and kung pao triple delight.",menu,dishes,member_of
"often when people hunt for snipe, they come upon a fall of woodcocks, which are also game birds.",fall,woodcocks,member_of
only then did i notice an ambush of tigers pacing us on the far shore.,ambush,tigers,member_of
"in september 2001, idrc created a council of regional advisors for west and central africa.",council,advisors,member_of
"hedgehogs annoy only their political opposition, while foxes annoy across the political spectrum, in part because the smartest foxes cherry-pick idea fragments from the whole array of hedgehogs.",array,hedgehogs,member_of
opm and others have regularly bemoaned the failure of the ses to produce a corps of generalist executives - and have regularly suggested the removal from the ses of executives with technical or professional skills and competencies.,corps,executives,member_of
"throughout her career she has worked extensively with the california department of education and the commission on teacher credentialing where she has been a contributing panel member on the writing of the california subject examination for teachers (cset), the california music standards, and the caltpa, the california teacher preparation assessment, as well as an evaluator for the single subject music preparation submission documents.",panel,member,member_of
"outside the walls of athens, the site of the academy was a sacred grove of olive trees, still recalled in the phrase ""the groves of academe.",grove,trees,member_of
the data provided powerful evidence that the unusual meteorite was the result of a long-lasting rain of meteorites following the destruction of an asteroid.,rain,meteorites,member_of
"standing squarely in the way of progressive plans to fortify marseilles, that magic grove of dodonian oaks, holly oaks and alder just had to go.",grove,oaks,member_of
the stress of electoral defeats exposed mr. hoyte to opposite pressures within the constituency of his supporters.,constituency,supporters,member_of
the lawyer was a member of the team.,lawyer,team,member_of
"thus, aptitude provides no information about critical interactional processes that take place after the student has enrolled in the university.",student,university,member_of
"this ""miller's dozen"" as i'm calling our troubling of 11 goldfish was thought to have dwindled to only 5 or 6 by as soon as the first morning after their purchase.",troubling,goldfish,member_of
thomas once found a clew of slow worms (about 8) under a stone.,clew,worms,member_of
anybody who has a peep of chickens has an opportunity for some interesting observations and great omelet material.,peep,chickens,member_of
three years ago the coalition organized a strategic cooperative of several farmers associations to export mangos under the taiwan mango brand.,cooperative,associations,member_of
"in the age of myth, a clan of berserkers made war against a druidic order.",clan,berserkers,member_of
he claimed to have witnessed terrible abuses in iraq as a corporal in the army.,corporal,army,member_of
the community of senior citizens already has great electoral power.,community,citizens,member_of
by the end of 1559 the whole bench of catholic bishops had been replaced.,bench,bishops,member_of
"when a flock of geese or ducks began to descend toward the decoys, the hunter pulled hard on the rope which he held in his hands.",flock,geese,member_of
"athos, porthos and aramis were soldiers in the very prestigious regiment of the king's musketeers - something like king's guard- which main arm, in the battlefield was the musket, a very heavy gun that needed to be held on a fork.",regiment,musketeers,member_of
"for the contemporary events there are still opportunities for a few participants, including a team from the moors with a cadge of peregrines and a brace of pointers, to hedgerow hawkers with ferrets and flushing dogs.",cadge,peregrines,member_of
"theocritus was born in syracuse, sicily, spent time on the island of kos and was also a member of the pleiad of alexandrian poets under ptolemy ii in alexandria.",pleiad,poets,member_of
it seems really nasty to have an army of caterpillars infest a fruit tree.,army,caterpillars,member_of
"in theory, boards of independent directors look after the interests of individual shareholders.",boards,directors,member_of
"a western regiment was behind it, a regiment of hunters and marksmen.",regiment,hunters,member_of
"the result is an exciting melee of influences, all bound together by the unswerving class and charisma of kinny's persona.",melee,influences,member_of
the rescue adoption room was filled with a kindle of kittens.,kindle,kittens,member_of
in doing this we recognize that english language teaching comprises a global community of teachers and learners in a range of social contexts.,community,teachers,member_of
"so it was that in 1724 at the age of 17 a somewhat awkward, refined young man took his place at the mess of officers much older, wiser, and harder than he.",mess,officers,member_of
dr. brian howard is a remarkably skilled atlanta plastic surgeon who is part of a select group of medical professionals who has certification in plastic surgery.,surgeon,group,member_of
"lake oswego was home to a sord of mallards who fled south during january and february, and returned in march for breeding.",sord,mallards,member_of
"david and i have the same ""vision"" for our kennel of dogs and share the same philosophy in what we want our labradors to represent.",kennel,dogs,member_of
"the plot here involves a cache of stolen jewels and gold bars, which were confiscated at the end of world war ii.",cache,jewels,member_of
he has been a core team member for the various research publications and resource person for policy documents of the rbi.,team,member,member_of
"the human psyche is seen to be a confederation of various aspects (e.g., cognition, affection, conation).",confederation,aspects,member_of
"the woman purchases raw milk from a local member of communities alliance for responsible eco-farming, a self-regulating cooperative of raw milk dairymen.",cooperative,dairymen,member_of
"jackson wasn't to be outdone and was rewarded with a leap of three leopards, which he watched with his guests for an amazing five hours.",leap,leopards,member_of
we have assembled a brigade of high-profile master chefs who are creating a menu that - like ballet kelowna itself - exemplifies the very best of where we live.,brigade,chefs,member_of
every municipality in ontario is a member of the corporation.,municipality,corporation,member_of
"one faction of netherwing dragons, named the netherwing, were attacked by the dragonmaw orcs of shadowmoon valley and many were enslaved by zuluhed, including the female karynaku (mate of neltharaku) who was leader of the brood.",faction,dragons,member_of
each organization that is a member of the corporation as provided in the constitution of the corporation is entitled to all the benefits of incorporation under this chapter.,organization,corporation,member_of
we sit up for almost an hour before a sounder of boar enter the arena.,sounder,boar,member_of
"pierre cardo, a deputy from chirac's party, explained that the most rebellious of ""delinquents"" are ""often products of polygamous families.",deputy,party,member_of
kurosawa hired a legion of marksmen to fire arrows at his lead actor.,legion,marksmen,member_of
this pecking order continues all the way down to the most subordinate wolf in the pack.,wolf,pack,member_of
"as sergeant major of the army, preston serves as the army chief of the staff's personal adviser on all enlisted-related matters, particularly in areas affecting soldier training and quality of life.",sergeant major,army,member_of
ccp games is unrelenting in its quest to maintain a fresh and challenging gaming experience to its ever-expanding universe of players.,universe,players,member_of
a skulk of thieves gathered for their monthly summit.,skulk,thieves,member_of
"lake st. lucia, africa's largest estuary, is home to the greatest congregation of hippos and crocodiles in south africa.",congregation,hippos,member_of
it consists of an ensemble of ladies who are highly qualified to play various arabic musical instruments.,ensemble,ladies,member_of
"today, it is most famous for proving sanctuary to a creep of giant tortoises (geochelone gigantea), descendants of four gifted from the seychellois governor to his opposite number in zanzibar in the 18th century.",creep,tortoises,member_of
"gorgol brought in your cavvy of mounts four days ago, took his bag, and rode off.",cavvy,mounts,member_of
"from 1958 to the present, he has cautiously undertaken a close collaboration with a pleiad of reputed authors in his cinematic endeavors.",pleiad,authors,member_of
"a few crappie on tuesday (june 24) were found among flooded willow trees, presumably feeding on the recent hatch of mayflies (willow flies) that occurred on sunday and monday.",hatch,mayflies,member_of
hotels and restaurants downtown are prepared to handle the crush of delegates.,crush,delegates,member_of
"each member takes part in the activity of the whole organisation in the same way as the organisation is responsible for the revolutionary and political activity of each of its members, since they do not act in the political domain without consulting the organisation.",member,organisation,member_of
"he likewise directed edric to fling out his nets, who was rewarded with a miraculous draught of salmons.",draught,salmons,member_of
the bm purchased from stevens in december 1861 a parcel of 116 birds from various localities including mysol.,parcel,birds,member_of
"herds with one stallion were organized in many stud farms, and a large number of separate lines were recognized.",herds,stallion,member_of
a rhumba of rattlesnakes plagued a village.,rhumba,rattlesnakes,member_of
"officials in the northern chinese province of inner mongolia have mobilized 33,000 people to stop a swarm of locusts 267 miles outside of beijing.",swarm,locusts,member_of
microsoft has announced an alliance of various industry partners whose goal is to fight the conficker worm.,alliance,partners,member_of
"when i was growing up in washington, my grandmother fed a nursery of raccoons every night.",nursery,raccoons,member_of
a gam of whales migrates to breeding lagoons every season.,gam,whales,member_of
a clutter of frightening spiders are seen still clinging to and covering their prey.,clutter,spiders,member_of
"in the second line, behind marshal soult, was first the division of united grenadiers, and on their left were the two divisions of marshal bernadotte.",division,grenadiers,member_of
