entity_id,entity_raw,entity_text,dominant_relation,pca_x,pca_y,tsne_x,tsne_y
3611,/m/02xv8m,/m/02xv8m,award award nominee award nominations. award award nomination award nominee,-0.6378358,0.1811794,-44.80683,9.944894
7359,/m/04b5n0,/m/04b5n0,soccer football team current roster. soccer football roster position position,-0.12084369,0.2857439,-17.94571,24.436354
9654,/m/01gp_d,/m/01gp_d,film film language,-0.0134284645,-0.10769215,-8.472936,-11.504889
4557,/m/0177z,/m/0177z,travel travel destination climate. travel travel destination monthly climate month,0.20389234,0.069224834,2.092541,-25.897028
13261,/m/0qcrj,/m/0qcrj,location location adjoin s. location adjoining relationship adjoins,0.3227237,0.11789411,18.769968,-3.3094692
14242,/m/02qvkj,/m/02qvkj,sports sports position players. sports sports team roster position,0.04710774,0.28754866,-7.0657053,12.29185
106,/m/02p65p,/m/02p65p,award award nominee award nominations. award award nomination award nominee,-0.8457972,0.008768439,-54.670044,10.21009
12432,/m/07kfzsg,/m/07kfzsg,award award category nominees. award award nomination nominated for,-0.07886687,-0.023034334,-23.065609,-19.270924
13202,/m/07s4l,/m/07s4l,medicine symptom symptom of,0.2641204,0.061793745,8.787883,-23.143236
2615,/m/025n3p,/m/025n3p,award award nominee award nominations. award award nomination award nominee,-0.78932875,-0.023822784,-59.293316,15.082323
11438,/m/0tz14,/m/0tz14,location location contains,0.30533332,0.13179606,19.303915,6.4993887
6924,/m/0280061,/m/0280061,film film release date s. film film regional release date film release region,0.38862073,-0.20095268,49.218307,-0.7596844
5574,/m/037mjv,/m/037mjv,soccer football team current roster. soccer football roster position position,0.26743054,0.21186805,6.021325,-1.9355431
4552,/m/02bqm0,/m/02bqm0,government legislative session members. government government position held legislative sessions,0.054560885,-0.49249327,45.64718,-18.216875
2547,/m/05q4y12,/m/05q4y12,film film release date s. film film regional release date film release region,0.43715554,-0.22996247,47.998154,-1.2861874
3527,/m/02mplj,/m/02mplj,soccer football team current roster. sports sports team roster position,0.3553813,0.14334792,8.511678,-4.177182
12509,/m/03x726,/m/03x726,soccer football team current roster. soccer football roster position position,0.33221453,0.15920508,13.7317295,-3.487392
5514,/m/0jvs0,/m/0jvs0,business job title people with this title. business employment tenure company,0.20841978,0.23523659,9.746571,13.83578
1674,/m/0bx8pn,/m/0bx8pn,sports professional sports team draft picks. sports sports league draft pick school,0.28645355,-0.030341089,19.285639,-26.751514
1519,/m/0fsm8c,/m/0fsm8c,award award nominee award nominations. award award nomination award nominee,-0.49084476,0.26569456,-37.540203,13.532392
6224,/m/0457w0,/m/0457w0,soccer football player current team. sports sports team roster team,0.12874912,0.24974531,-0.6004842,13.256141
1584,/m/0m_xy,/m/0m_xy,location location contains,-0.010820612,0.30179614,-6.898059,22.444267
5881,/m/01515w,/m/01515w,film actor film. film performance film,-0.5892917,0.19836932,-42.74339,8.357268
13885,/m/09743,/m/09743,people ethnicity languages spoken,0.006451741,0.2956543,-8.700206,6.029968
5635,/m/01_sz1,/m/01_sz1,music genre parent genre,0.29444706,0.18357015,8.1468,-1.3212025
9891,/m/01kqq7,/m/01kqq7,film film genre,0.34987628,-0.17121816,45.39817,1.4853425
4333,/m/09gb_4p,/m/09gb_4p,award award category nominees. award award nomination nominated for,0.40070242,-0.43975717,57.521328,-5.1732297
13223,/m/04qp06,/m/04qp06,people person profession,-0.15093006,0.31947464,-11.828178,19.923382
711,/m/09qv3c,/m/09qv3c,award award nominee award nominations. award award nomination award,-0.6308421,-0.5258641,-25.900259,-26.601381
11955,/m/02dwpf,/m/02dwpf,sports sports team roster. baseball baseball roster position position,0.28127074,0.077181816,14.07564,13.109616
7527,/m/02kcz,/m/02kcz,organization organization member member of. organization organization membership organization,0.1330838,-0.08062014,7.6668015,-35.24426
8785,/m/03l78j,/m/03l78j,education educational degree people with this degree. education education institution,0.31696606,0.0034797788,17.4491,-19.659618
2045,/m/01lb14,/m/01lb14,olympics olympic sport athletes. olympics olympic athlete affiliation country,0.06900059,-0.01797378,-5.0952806,-16.571522
6201,/m/01pfpt,/m/01pfpt,music genre parent genre,0.38257754,-0.13099506,25.450083,-15.747273
1291,/m/045c66,/m/045c66,award award nominee award nominations. award award nomination award nominee,-0.70051265,0.13176131,-50.82831,12.583068
9044,/m/09bkc6,/m/09bkc6,soccer football team current roster. sports sports team roster position,0.3228333,0.13360423,11.315995,-3.5784118
4803,/m/03pnvq,/m/03pnvq,organization organization headquarters. location mailing address citytown,0.118801996,0.27867633,-4.1510115,1.7390134
13588,/m/0nm9y,/m/0nm9y,location location adjoin s. location adjoining relationship adjoins,0.2721879,0.18726408,8.60514,3.8671348
10299,/m/0ggyr,/m/0ggyr,location location contains,0.40212965,0.045301795,18.329327,-17.594955
10133,/m/0cw67g,/m/0cw67g,film film other crew. film film crew gig crewmember,-0.7848233,0.017878473,-54.910233,18.266127
14118,/m/0hv7l,/m/0hv7l,common topic webpage. common webpage category,0.2663989,0.04198575,3.254028,-16.522472
5925,/m/0123r4,/m/0123r4,music performance role regular performances. music group membership group,-0.3557431,-0.18131939,-39.77955,29.686523
9459,/m/019vsw,/m/019vsw,education educational institution students graduates. education education student,0.3315286,0.13158411,6.163558,-16.83533
3150,/m/01wyy_,/m/01wyy_,award award nominee award nominations. award award nomination award nominee,-0.24198174,0.23277968,-18.874641,18.851383
11543,/m/0hn2q,/m/0hn2q,sports sports position players. sports sports team roster team,0.22246839,0.17260796,4.2014904,-4.088135
1139,/m/0n5fl,/m/0n5fl,location location adjoin s. location adjoining relationship adjoins,0.12741472,0.22141838,-5.1379795,-4.996793
750,/m/026dg51,/m/026dg51,award award nominee award nominations. award award nomination award nominee,-0.8463487,-0.13331819,-59.46516,14.07671
10834,/m/025r_t,/m/025r_t,location location adjoin s. location adjoining relationship adjoins,0.29703224,0.067150414,12.559652,-24.26558
3733,/m/0184tc,/m/0184tc,film film release date s. film film regional release date film release region,0.4898138,-0.19540972,45.18533,-6.919446
12665,/m/02gnj2,/m/02gnj2,people person profession,-0.013502806,0.28488195,-12.1459055,10.929908
4741,/m/011ycb,/m/011ycb,film film release date s. film film regional release date film release region,0.2899087,-0.6038937,64.6353,-6.39636
1307,/m/01pw2f1,/m/01pw2f1,base popstra celebrity dated. base popstra dated participant,-0.5022771,0.25729883,-40.15569,17.948774
14013,/m/01j950,/m/01j950,government government office category officeholders. government government position held jurisdiction of office,0.047292367,0.28002417,-5.6727157,12.345481
3814,/m/081g_l,/m/081g_l,music record label artist,0.28373867,0.15403372,18.139353,1.3419621
14196,/m/01fhsb,/m/01fhsb,people person profession,0.2521295,0.19926322,9.7415695,5.0504117
1654,/m/0gr51,/m/0gr51,award award category nominees. award award nomination nominated for,-0.74873096,-0.71019346,-27.084816,-28.281311
6227,/m/0lbfv,/m/0lbfv,education educational degree people with this degree. education education institution,0.36066008,0.0166201,17.400335,-24.750036
4554,/m/0f6_4,/m/0f6_4,location location adjoin s. location adjoining relationship adjoins,0.3434477,-0.07539177,4.291677,-24.283852
7428,/m/04pnx,/m/04pnx,location location contains,-0.13134244,-0.033775687,-8.968055,19.886421
10415,/m/0n56v,/m/0n56v,location location adjoin s. location adjoining relationship adjoins,0.3948171,0.03343427,14.265792,-17.417727
13666,/m/0nqph,/m/0nqph,location location contains,0.30083567,0.19575572,14.585038,0.96411264
5977,/m/06rhz7,/m/06rhz7,award award category nominees. award award nomination nominated for,0.33341348,-0.24808788,49.717216,3.9046426
2664,/m/0161sp,/m/0161sp,music artist track contributions. music track contribution role,-0.6161295,0.20808929,-41.17497,22.132269
6065,/m/05n6sq,/m/05n6sq,film film genre,0.4651671,-0.26506603,46.196342,-4.072516
5820,/m/0cdf37,/m/0cdf37,film film film production design by,-0.50579464,0.2401368,-39.002697,11.426757
3432,/m/02t4yc,/m/02t4yc,education educational degree people with this degree. education education institution,0.22842692,0.19767392,8.639427,6.831729
10980,/m/01tgwv,/m/01tgwv,award award nominee award nominations. award award nomination award,-0.15720958,0.17300701,-19.723757,4.8090014
4374,/m/080lkt7,/m/080lkt7,film film release date s. film film regional release date film release region,0.41106468,-0.42718583,56.673286,-5.922362
11498,/m/02y0dd,/m/02y0dd,soccer football player current team. sports sports team roster team,-0.13460514,0.2940002,-18.330013,9.789923
11199,/m/02gjrc,/m/02gjrc,tv tv program regular cast. tv regular tv appearance actor,0.1545768,0.065965414,38.897408,2.9952362
10617,/m/08g5q7,/m/08g5q7,people cause of death people,0.17404933,0.21911013,13.550935,-2.3919187
1169,/m/08pgl8,/m/08pgl8,soccer football team current roster. soccer football roster position position,-0.002316475,0.24486369,-1.8678281,-3.39614
9980,/m/04wp63,/m/04wp63,award award nominee award nominations. award award nomination award nominee,-0.67954177,0.13409597,-53.156845,8.154692
10403,/m/06mvyf,/m/06mvyf,education educational institution campus educational institution,0.17065628,0.25418204,2.4849017,9.265061
2803,/m/041xyk,/m/041xyk,soccer football team current roster. soccer football roster position position,0.29317403,0.1888718,13.358608,-1.1507148
8751,/m/03y317,/m/03y317,media common netflix genre titles,0.20363276,0.17144275,0.4187989,-9.088268
11946,/m/01xl5,/m/01xl5,organization role leaders. organization leadership organization,0.38056326,-0.0004453063,19.36351,-20.129755
4010,/m/046qq,/m/046qq,film actor film. film performance film,-0.4568944,0.31837082,-27.4439,11.561794
2677,/m/06n6p,/m/06n6p,education educational institution students graduates. education education major field of study,-0.27972367,-0.21995276,-19.418192,-26.855469
7573,/m/05ch98,/m/05ch98,film film genre,0.40376186,-0.1383099,44.225037,-0.34714764
6216,/m/02sn34,/m/02sn34,travel travel destination climate. travel travel destination monthly climate month,0.30995697,-0.05192846,4.274834,-25.638777
4422,/m/02h1rt,/m/02h1rt,film film other crew. film film crew gig crewmember,-0.699858,0.062387526,-54.53102,16.896605
10485,/m/0dhml,/m/0dhml,location location contains,0.21636014,0.16819578,1.2069288,-6.6520247
11274,/m/059x3p,/m/059x3p,film film production companies,0.09007035,0.29213357,-3.1130621,9.320948
9125,/m/017lqp,/m/017lqp,film actor film. film performance film,-0.17659603,0.26735014,-22.449846,19.561941
3598,/m/0dx8gj,/m/0dx8gj,film film genre,0.32490802,-0.19204345,50.96744,1.76923
11216,/m/06jkm,/m/06jkm,influence influence node influenced by,-0.21463838,0.3054921,-19.189344,20.224901
5313,/m/03rwng,/m/03rwng,award award nominee award nominations. award award nomination award,-0.22446732,0.30065972,-16.617994,22.221273
13809,/m/02245,/m/02245,government political party politicians in this party. government political party tenure politician,0.29341006,0.10993123,3.048268,-5.5803723
12588,/m/01fkr_,/m/01fkr_,tv tv network programs. tv tv network duration program,0.3282789,0.11858857,9.232806,-20.129469
12713,/m/0906w9,/m/0906w9,sports sports position players. sports sports team roster team,0.16101988,0.20751762,-2.4557502,22.818968
916,/m/03x3wf,/m/03x3wf,award award category winners. award award honor award winner,-0.3891056,-0.060477257,-25.21703,-17.932837
3752,/m/02dk5q,/m/02dk5q,education educational institution school type,-0.0005107522,0.20114326,-1.2251067,-2.202862
13464,/m/02qnk5c,/m/02qnk5c,people person nationality,0.123866096,0.22458124,2.96852,20.953556
525,/m/0pc62,/m/0pc62,film actor film. film performance film,0.38705862,-0.27315056,48.65183,0.79488647
13189,/m/0ftns,/m/0ftns,location location contains,0.2679972,0.1534428,12.085245,-1.8322582
5168,/m/04cbbz,/m/04cbbz,award award winning work awards won. award award honor honored for,0.5018734,-0.34293318,45.196808,-4.7551537
6572,/m/0lfbm,/m/0lfbm,award award nominee award nominations. award award nomination award,-0.47279066,0.2443608,-33.762123,18.027893
4386,/m/02gyl0,/m/02gyl0,people person profession,-0.2596689,0.32720715,-23.528156,16.834112
1084,/m/0bm02,/m/0bm02,music performance role track performances. music track contribution role,-0.10942997,-0.5543086,-17.197231,-32.266174
3456,/m/03h2c,/m/03h2c,olympics olympic sport athletes. olympics olympic athlete affiliation country,0.10531117,-0.46511433,4.3654137,-36.746777
9292,/m/037s5h,/m/037s5h,people person places lived. people place lived location,-0.060356945,0.27341527,-6.6523886,16.882076
14358,/m/0fr_b,/m/0fr_b,location location contains,0.1278571,0.28664386,-0.72068775,14.15919
11762,/m/017j4q,/m/017j4q,location location contains,0.0955971,0.22847742,-6.1300054,1.787438
5155,/m/019lxm,/m/019lxm,soccer football team current roster. sports sports team roster position,0.2815718,0.15833843,7.870217,-3.5528324
3483,/m/027r8p,/m/027r8p,award award nominee award nominations. award award nomination award nominee,-0.5090633,0.27447832,-40.06017,17.710253
10738,/m/05rnp1,/m/05rnp1,people person profession,-0.19068988,0.27288604,-17.871635,19.75662
8179,/m/063_t,/m/063_t,influence influence node influenced by,-0.23184057,0.33917505,-20.614218,22.72391
6482,/m/047rkcm,/m/047rkcm,film film other crew. film film crew gig film crew role,0.37412316,-0.24727115,47.789047,-4.707798
10532,/m/0fkh6,/m/0fkh6,location location adjoin s. location adjoining relationship adjoins,0.28377688,-0.029423475,4.2325945,-26.778942
7517,/m/02qw2xb,/m/02qw2xb,award award winner awards won. award award honor award winner,-0.7822289,0.029048443,-57.335155,19.615112
2340,/m/05b3ts,/m/05b3ts,sports sports position players. sports sports team roster team,-0.5022168,-1.1934378,-11.996398,-39.94092
4339,/m/044k8,/m/044k8,music genre artists,-0.34089112,0.13055044,-38.101738,27.298939
2287,/m/016sp_,/m/016sp_,award award nominee award nominations. award award nomination award nominee,-0.73344326,0.09663552,-54.07351,15.584025
4040,/m/012rng,/m/012rng,award award nominee award nominations. award award nomination nominated for,-0.5633253,0.26434922,-36.55821,8.325352
12205,/m/04pry,/m/04pry,location location contains,0.39115733,-0.06077224,4.773534,-25.32165
9197,/m/0f8j13,/m/0f8j13,film film genre,0.31049132,-0.29904097,49.6339,-1.2302701
8830,/m/04sh3,/m/04sh3,education educational institution students graduates. education education major field of study,-0.5891725,-1.0975237,-22.363981,-30.295784
4304,/m/0gq_d,/m/0gq_d,award award category winners. award award honor ceremony,-0.52744114,-0.49424267,-27.949636,-25.186676
12239,/m/01gh6z,/m/01gh6z,base aareas schema administrative area administrative parent,0.4269156,0.008038104,26.898249,-6.930486
9577,/m/0g57wgv,/m/0g57wgv,film film release date s. film film regional release date film release region,0.39441514,0.066090524,30.692553,-0.25823715
7019,/m/0q9b0,/m/0q9b0,award award nominee award nominations. award award nomination nominated for,0.40924948,-0.33913046,53.06896,-4.088495
9560,/m/0bbxd3,/m/0bbxd3,tv tv producer programs produced. tv tv producer term program,0.07166605,0.23947412,-5.6601615,20.864157
6543,/m/07l8f,/m/07l8f,sports sports position players. sports sports team roster team,0.27912992,0.008507013,17.454117,-7.418051
5930,/m/01htxr,/m/01htxr,award award nominee award nominations. award award nomination award nominee,-0.64928645,0.21084458,-45.16209,17.214428
3593,/m/05jm7,/m/05jm7,influence influence node influenced by,-0.23601198,0.30661857,-21.721106,10.50242
2266,/m/0sxrz,/m/0sxrz,olympics olympic games sports,-0.27414128,-1.0296104,-15.67046,-34.14515
8348,/m/044_7j,/m/044_7j,people person profession,0.012642279,0.293396,-3.9113388,13.786977
8085,/m/05z_p6,/m/05z_p6,people person profession,-0.15703389,0.33854228,-16.129498,20.516947
1489,/m/05zvj3m,/m/05zvj3m,award award category nominees. award award nomination nominated for,-0.7722373,-0.68401515,-25.7763,-28.344498
12382,/m/0d7m90,/m/0d7m90,tv tv network programs. tv tv network duration program,0.3021257,0.15007704,16.31002,6.346066
771,/m/06b1q,/m/06b1q,sports sports position players. sports sports team roster team,-0.553719,-1.0450382,-11.914067,-40.02229
14108,/m/01bkv,/m/01bkv,film film language,0.26221424,-0.075240195,13.41996,-24.65674
1796,/m/02lyr4,/m/02lyr4,sports sports position players. sports sports team roster team,0.012669906,-0.37482122,47.78957,-16.42739
2504,/m/038rzr,/m/038rzr,film actor film. film performance film,-0.18313086,0.30893266,-16.354996,25.120058
10280,/m/02s838,/m/02s838,location location contains,0.38934904,0.057020128,17.488737,-7.315983
2621,/m/016h9b,/m/016h9b,music group member membership. music group membership role,-0.62653536,0.18788147,-42.535633,24.429884
12977,/m/03qrh9,/m/03qrh9,sports sports team roster. baseball baseball roster position position,0.33685338,0.09153557,28.09198,-4.3078566
11149,/m/0cxgc,/m/0cxgc,location location contains,-0.04322873,0.23927885,-9.248529,-5.9324594
6916,/m/0d2t4g,/m/0d2t4g,location location time zones,0.16804321,0.2241087,9.470788,11.547458
9771,/m/04mhxx,/m/04mhxx,award award nominee award nominations. award award nomination award nominee,-0.5250251,0.2525373,-39.468666,11.151189
1040,/m/016gr2,/m/016gr2,award award nominee award nominations. award award nomination award nominee,-0.7804124,0.041674733,-58.16593,18.66589
6304,/m/0b_75k,/m/0b_75k,base marchmadness ncaa basketball tournament seeds. base marchmadness ncaa tournament seed team,0.104585335,0.22738034,-15.672743,0.48701113
6252,/m/01lrrt,/m/01lrrt,film film genre,0.14214854,-0.316524,28.052254,-6.8085446
9763,/m/01_k7f,/m/01_k7f,education educational institution students graduates. education education major field of study,0.4217258,0.061635137,16.029509,-17.695744
7668,/m/0d1xh,/m/0d1xh,location location adjoin s. location adjoining relationship adjoins,0.4042043,-0.062370658,12.666946,-27.301586
8669,/m/01v80y,/m/01v80y,award award nominee award nominations. award award nomination award,-0.6160315,0.1858142,-44.048588,10.514962
4119,/m/0fc9js,/m/0fc9js,award award nominee award nominations. award award nomination award,-0.81858337,-0.68498135,-27.681728,-29.11813
9064,/m/014knw,/m/014knw,film film release date s. film film regional release date film release region,0.2976455,-0.54794925,63.13908,-5.5239406
14103,/m/0h5qxv,/m/0h5qxv,government legislative session members. government government position held district represented,0.37554413,-0.10953906,7.5988417,-28.352589
188,/m/0yyg4,/m/0yyg4,award award category nominees. award award nomination nominated for,0.35631365,-0.5642048,65.24897,-5.3261304
11145,/m/0dznvw,/m/0dznvw,award award category winners. award award honor ceremony,0.21204402,-0.1244542,-10.304801,-21.462687
11808,/m/035s37,/m/035s37,soccer football team current roster. soccer football roster position position,0.24705346,0.08995366,6.1495466,-5.7344313
1876,/m/01hqhm,/m/01hqhm,film actor film. film performance film,0.32758373,-0.50493336,62.050674,-4.6852007
11169,/m/03k7dn,/m/03k7dn,education educational degree people with this degree. education education institution,0.43589908,-0.12730381,22.76574,-21.468273
8797,/m/02hrb2,/m/02hrb2,education educational institution campus educational institution,0.26412755,0.13490224,9.306127,-11.651099
12302,/m/01pt5w,/m/01pt5w,location location contains,0.32817316,0.14200425,11.330842,-15.408074
4371,/m/018n6m,/m/018n6m,award award nominee award nominations. award award nomination award,-0.41836315,0.2892756,-32.228065,23.348057
12592,/m/0q_0z,/m/0q_0z,music artist origin,0.2521577,-0.1204817,5.066652,-27.568035
10501,/m/03j76b,/m/03j76b,soccer football team current roster. sports sports team roster position,0.092684284,0.2787456,-2.1887562,13.001188
5573,/m/02h22,/m/02h22,film film release date s. film film regional release date film release region,0.32827204,-0.07022399,42.079388,1.9126687
1827,/m/0bdx29,/m/0bdx29,award award nominee award nominations. award award nomination award,-0.71533185,-0.6322905,-27.250393,-27.474117
4808,/m/014kkm,/m/014kkm,award award nominee award nominations. award award nomination nominated for,0.33936507,-0.29150906,54.175644,-0.5605094
7123,/m/06mnr,/m/06mnr,education educational institution students graduates. education education major field of study,-0.13989162,-0.189857,-18.420652,-28.232246
2591,/m/04jwly,/m/04jwly,award award category nominees. award award nomination nominated for,0.40898502,-0.5213323,58.264076,-7.8823566
7433,/m/0fxmbn,/m/0fxmbn,film film language,0.3937624,-0.078300625,42.70522,0.39328384
53,/m/08815,/m/08815,education educational institution students graduates. education education student,0.3423667,-0.16107473,21.452831,-27.995169
11830,/m/0gt14,/m/0gt14,film film genre,0.44296747,-0.2624417,47.606556,-6.2238965
11791,/m/02rfft,/m/02rfft,business business operation industry,0.28350914,0.18631285,5.0698752,-0.87985444
4315,/m/025l5,/m/025l5,award award nominee award nominations. award award nomination award nominee,-0.7825051,0.042205155,-56.7385,16.953302
8201,/m/02clgg,/m/02clgg,film actor film. film performance film,-0.37624946,0.28892076,-37.91493,12.22748
12483,/m/03mr85,/m/03mr85,award award category nominees. award award nomination nominated for,0.2680567,-0.6078533,64.05541,-6.5316796
2927,/m/01w7nww,/m/01w7nww,award award nominee award nominations. award award nomination award nominee,-0.6184895,0.19073749,-41.000763,21.754387
8317,/m/07m69t,/m/07m69t,sports pro athlete teams. sports sports team roster team,0.3731261,-0.006673157,19.333746,-20.326845
1743,/m/05qbckf,/m/05qbckf,film film release date s. film film regional release date film release region,0.41446579,-0.09088728,43.64322,-1.5570354
14262,/m/012x8m,/m/012x8m,music record label artist,0.08942075,0.27874035,-2.409326,13.3941965
10244,/m/020jqv,/m/020jqv,award award nominee award nominations. award award nomination award nominee,-0.6507329,0.24288738,-43.245995,14.103148
4889,/m/09d6p2,/m/09d6p2,business job title people with this title. business employment tenure company,0.3020743,-0.037764788,19.368698,-11.262007
13789,/m/02r0st6,/m/02r0st6,people person profession,-0.21452603,0.35430795,-21.69593,14.519988
10468,/m/01n43d,/m/01n43d,location location contains,0.03221877,0.2974068,-4.6178784,1.3964704
14336,/m/09dhj,/m/09dhj,tv tv program genre,-0.13750702,0.33677053,-13.912829,16.5212
9977,/m/016tbr,/m/016tbr,award award nominee award nominations. award award nomination award nominee,-0.7427403,0.1426909,-52.196377,17.147831
3258,/m/05563d,/m/05563d,music performance role regular performances. music group membership group,-0.39487857,-0.28729013,-39.64715,30.344059
14375,/m/01fpdh,/m/01fpdh,government political party politicians in this party. government political party tenure politician,0.33316523,0.109279156,14.31367,5.0284653
6126,/m/0dmtp,/m/0dmtp,business job title people with this title. business employment tenure company,0.24516587,0.19985396,7.588903,-11.304857
12492,/m/01s7z0,/m/01s7z0,people person profession,0.015784875,0.28256387,-5.9721246,10.310456
2646,/m/0653m,/m/0653m,film film language,-0.3906719,-0.8688341,-3.1865766,-32.919403
8837,/m/0brgy,/m/0brgy,medicine symptom symptom of,0.15386073,0.26566374,-1.2423012,10.432763
12757,/m/03lgtv,/m/03lgtv,people person profession,0.22886695,0.21363956,2.2846127,-3.7350318
8689,/m/03hfxx,/m/03hfxx,people person profession,-0.12064919,0.32878876,-14.046281,16.13211
9,/m/02nzb8,/m/02nzb8,soccer football team current roster. sports sports team roster position,-0.51882786,-1.3465931,-13.599393,-38.26574
9813,/m/0267wwv,/m/0267wwv,film film release date s. film film regional release date film release region,0.34435278,-0.3483038,53.014576,-5.1882358
5310,/m/099pks,/m/099pks,tv tv program genre,0.4743241,-0.09960973,37.353348,-2.080433
8005,/m/0l5yl,/m/0l5yl,influence influence node influenced by,-0.6890596,0.16950715,-45.931377,18.440945
319,/m/01t_xp_,/m/01t_xp_,music performance role regular performances. music group membership group,-0.17549402,-0.031226993,-38.587067,29.123608
1832,/m/02mhfy,/m/02mhfy,film actor film. film performance film,-0.40566894,0.30127686,-33.08259,13.402048
5947,/m/0j8p6,/m/0j8p6,location location contains,0.120383576,0.24417186,2.2724502,13.201592
13626,/m/0212ny,/m/0212ny,military military combatant military conflicts. military military combatant group combatants,0.17452113,0.19917387,-6.9135118,-8.137161
13218,/m/03lrls,/m/03lrls,education educational institution students graduates. education education major field of study,0.028733298,-0.06759173,-3.3106587,-16.181173
5038,/m/05pzdk,/m/05pzdk,award award nominee award nominations. award award nomination award nominee,-0.67777365,0.0946545,-50.925224,15.331436
3923,/m/026lg0s,/m/026lg0s,sports sports position players. sports sports team roster team,0.23208149,0.10156417,20.925488,13.585325
949,/m/0h1mt,/m/0h1mt,award award nominee award nominations. award award nomination award nominee,-0.27796167,0.32890743,-20.88817,23.25008
3946,/m/0nr_q,/m/0nr_q,location location adjoin s. location adjoining relationship adjoins,0.21864875,0.14671361,9.8234,-15.267655
9295,/m/01nhkxp,/m/01nhkxp,music artist track contributions. music track contribution role,-0.5287347,0.27868825,-34.669357,20.893938
1290,/m/02lgj6,/m/02lgj6,award award nominee award nominations. award award nomination award nominee,-0.7065355,-0.048431993,-60.893955,17.045435
1403,/m/073hmq,/m/073hmq,award award category winners. award award honor ceremony,0.06338982,-0.26910803,-10.827674,-23.281822
11991,/m/066yfh,/m/066yfh,award award nominee award nominations. award award nomination award nominee,-0.34030452,0.32354462,-23.602726,23.457985
7962,/m/014d7f,/m/014d7f,food food nutrients. food nutrition fact nutrient,0.27431715,-0.2926009,24.776451,-28.391996
