sentence,entity1,entity2,relation
plugin is part of network officially,plugin,network,part_of
zane currently dwells in london today,zane,london,lives_in
sam currently lives in zurich now,sam,zurich,lives_in
dave is married to karen happily,dave,karen,married_to
rachel regularly handles the pytorch effectively,rachel,pytorch,uses
alice personally holds the printer officially,alice,printer,owns
irene regularly serves at samsung daily,irene,samsung,works_at
jack seriously learns at harvard daily,jack,harvard,studies_at
quinn actively trains at mit,quinn,mit,studies_at
frank currently leads at zoom,frank,zoom,works_at
motor is part of system officially,motor,system,part_of
noah daily handles the docker today,noah,docker,uses
noah was born in zurich officially,noah,zurich,born_in
wendy was born in dallas recently,wendy,dallas,born_in
stadium is located in berlin currently,stadium,berlin,located_in
wendy personally keeps the laptop officially,wendy,laptop,owns
carol was born in sydney,carol,sydney,born_in
yasmin was born in london recently,yasmin,london,born_in
frank legally holds boat today,frank,boat,owns
zane is parent of paul legally,zane,paul,parent_of
liam legally owns the guitar officially,liam,guitar,owns
quinn regularly operates pytorch carefully,quinn,pytorch,uses
tina diligently learns at nus,tina,nus,studies_at
jack diligently learns at nus today,jack,nus,studies_at
jack daily uses figma carefully,jack,figma,uses
alice often resides in sydney daily,alice,sydney,lives_in
library is located in zurich officially,library,zurich,located_in
embassy is located in lisbon officially,embassy,lisbon,located_in
irene currently leads at sap now,irene,sap,works_at
xavier actively learns at princeton now,xavier,princeton,studies_at
museum is located in phoenix currently,museum,phoenix,located_in
henry was born in sydney,henry,sydney,born_in
rachel routinely operates linux effectively,rachel,linux,uses
office is located in paris currently,office,paris,located_in
mia is married to irene happily,mia,irene,married_to
sam is parent of umar officially,sam,umar,parent_of
dave seriously trains at epfl daily,dave,epfl,studies_at
liam securely owns camera officially,liam,camera,owns
sensor is part of platform,sensor,platform,part_of
wendy seriously trains at nus,wendy,nus,studies_at
dave actively studies at nus,dave,nus,studies_at
library is located in denver currently,library,denver,located_in
quinn is parent of irene biologically,quinn,irene,parent_of
wendy was born in boston historically,wendy,boston,born_in
victor is parent of noah officially,victor,noah,parent_of
gallery is located in denver,gallery,denver,located_in
gear is part of pipeline currently,gear,pipeline,part_of
carol is parent of wendy,carol,wendy,parent_of
museum is located in zurich today,museum,zurich,located_in
museum is located in tokyo officially,museum,tokyo,located_in
yasmin seriously learns at yale,yasmin,yale,studies_at
yasmin actively leads at samsung today,yasmin,samsung,works_at
frank is married to jack officially,frank,jack,married_to
yasmin regularly operates the slack carefully,yasmin,slack,uses
irene usually lives in berlin now,irene,berlin,lives_in
sam often dwells in vienna today,sam,vienna,lives_in
umar is parent of grace,umar,grace,parent_of
switch is part of vehicle officially,switch,vehicle,part_of
module is part of network currently,module,network,part_of
plugin is part of aircraft officially,plugin,aircraft,part_of
henry is married to paul happily,henry,paul,married_to
irene currently works at microsoft daily,irene,microsoft,works_at
dave currently dwells in miami now,dave,miami,lives_in
carol was born in miami historically,carol,miami,born_in
irene routinely operates tensorflow today,irene,tensorflow,uses
liam was born in boston recently,liam,boston,born_in
alice actively works at tesla now,alice,tesla,works_at
motor is part of aircraft today,motor,aircraft,part_of
bob usually dwells in phoenix today,bob,phoenix,lives_in
henry often resides in dubai,henry,dubai,lives_in
liam currently resides in zurich daily,liam,zurich,lives_in
grace was born in seoul,grace,seoul,born_in
umar is parent of olivia officially,umar,olivia,parent_of
noah regularly uses the slack carefully,noah,slack,uses
factory is located in delhi today,factory,delhi,located_in
irene was born in sydney historically,irene,sydney,born_in
switch is part of cluster officially,switch,cluster,part_of
sam currently dwells in phoenix daily,sam,phoenix,lives_in
karen currently lives in boston today,karen,boston,lives_in
karen securely owns phone currently,karen,phone,owns
circuit is part of aircraft officially,circuit,aircraft,part_of
emma is parent of paul biologically,emma,paul,parent_of
rachel is married to liam,rachel,liam,married_to
embassy is located in paris,embassy,paris,located_in
grace legally keeps the farm today,grace,farm,owns
henry currently lives in madrid today,henry,madrid,lives_in
kernel is part of network today,kernel,network,part_of
xavier routinely uses the sql today,xavier,sql,uses
alice regularly uses excel today,alice,excel,uses
studio is located in delhi officially,studio,delhi,located_in
grace regularly uses kafka carefully,grace,kafka,uses
rachel routinely operates tensorflow carefully,rachel,tensorflow,uses
rachel currently resides in tokyo,rachel,tokyo,lives_in
karen daily handles the python carefully,karen,python,uses
paul securely owns the watch currently,paul,watch,owns
dave was born in seoul,dave,seoul,born_in
museum is located in tokyo today,museum,tokyo,located_in
irene regularly operates jira effectively,irene,jira,uses
switch is part of server currently,switch,server,part_of
emma is married to jack legally,emma,jack,married_to
zane actively works at airbnb,zane,airbnb,works_at
alice legally holds the phone today,alice,phone,owns
panel is part of platform,panel,platform,part_of
paul routinely uses slack carefully,paul,slack,uses
quinn daily handles figma today,quinn,figma,uses
paul routinely uses kafka carefully,paul,kafka,uses
embassy is located in dubai officially,embassy,dubai,located_in
gallery is located in oslo,gallery,oslo,located_in
jack currently resides in boston daily,jack,boston,lives_in
dave seriously studies at stanford daily,dave,stanford,studies_at
battery is part of platform today,battery,platform,part_of
yasmin regularly handles the python effectively,yasmin,python,uses
jack was born in lisbon historically,jack,lisbon,born_in
henry personally owns the house today,henry,house,owns
victor personally keeps tablet currently,victor,tablet,owns
liam often dwells in seoul now,liam,seoul,lives_in
carol currently resides in tokyo,carol,tokyo,lives_in
rachel often resides in rome now,rachel,rome,lives_in
sam is married to wendy happily,sam,wendy,married_to
karen personally holds the bicycle currently,karen,bicycle,owns
tina securely owns car today,tina,car,owns
xavier seriously learns at ucla,xavier,ucla,studies_at
tina securely holds printer currently,tina,printer,owns
karen securely owns guitar today,karen,guitar,owns
liam was born in phoenix officially,liam,phoenix,born_in
emma is parent of tina,emma,tina,parent_of
wendy daily uses spark effectively,wendy,spark,uses
frank is parent of wendy officially,frank,wendy,parent_of
xavier is parent of victor legally,xavier,victor,parent_of
bob was born in rome recently,bob,rome,born_in
dave regularly operates the linux today,dave,linux,uses
olivia personally holds car currently,olivia,car,owns
liam is parent of yasmin officially,liam,yasmin,parent_of
emma seriously learns at princeton daily,emma,princeton,studies_at
yasmin is married to rachel officially,yasmin,rachel,married_to
irene regularly leads at tesla daily,irene,tesla,works_at
henry is married to mia,henry,mia,married_to
olivia personally keeps the house today,olivia,house,owns
xavier diligently studies at harvard,xavier,harvard,studies_at
plugin is part of cluster today,plugin,cluster,part_of
jack was born in rome officially,jack,rome,born_in
jack was born in boston recently,jack,boston,born_in
valve is part of platform today,valve,platform,part_of
henry currently lives in phoenix,henry,phoenix,lives_in
umar actively studies at nus now,umar,nus,studies_at
mia currently dwells in vienna now,mia,vienna,lives_in
dave regularly uses the sql carefully,dave,sql,uses
quinn personally holds scooter currently,quinn,scooter,owns
henry seriously studies at harvard today,henry,harvard,studies_at
frank legally holds studio today,frank,studio,owns
frank usually lives in london,frank,london,lives_in
bob is married to karen happily,bob,karen,married_to
plugin is part of cluster currently,plugin,cluster,part_of
dave daily uses the kafka today,dave,kafka,uses
circuit is part of network,circuit,network,part_of
mia usually dwells in rome daily,mia,rome,lives_in
tina was born in london officially,tina,london,born_in
plugin is part of vehicle,plugin,vehicle,part_of
noah is parent of henry officially,noah,henry,parent_of
olivia actively serves at airbnb now,olivia,airbnb,works_at
yasmin seriously trains at cornell today,yasmin,cornell,studies_at
karen is parent of rachel,karen,rachel,parent_of
campus is located in seoul officially,campus,seoul,located_in
gear is part of drone officially,gear,drone,part_of
quinn is parent of carol legally,quinn,carol,parent_of
frank personally holds the tablet officially,frank,tablet,owns
liam personally keeps farm today,liam,farm,owns
plugin is part of server,plugin,server,part_of
paul regularly serves at tesla now,paul,tesla,works_at
zane was born in paris recently,zane,paris,born_in
henry diligently learns at stanford daily,henry,stanford,studies_at
mia is married to emma happily,mia,emma,married_to
paul currently resides in vienna daily,paul,vienna,lives_in
noah personally keeps bicycle currently,noah,bicycle,owns
valve is part of machine currently,valve,machine,part_of
olivia is married to liam happily,olivia,liam,married_to
center is located in seoul currently,center,seoul,located_in
engine is part of robot today,engine,robot,part_of
grace legally owns tablet today,grace,tablet,owns
carol legally keeps the bicycle officially,carol,bicycle,owns
victor is parent of jack legally,victor,jack,parent_of
valve is part of network officially,valve,network,part_of
circuit is part of robot officially,circuit,robot,part_of
jack is parent of sam,jack,sam,parent_of
jack actively studies at cornell today,jack,cornell,studies_at
router is part of pipeline,router,pipeline,part_of
karen securely holds house officially,karen,house,owns
bob is parent of umar,bob,umar,parent_of
campus is located in dubai today,campus,dubai,located_in
olivia is married to zane happily,olivia,zane,married_to
carol currently lives in zurich today,carol,zurich,lives_in
umar actively learns at princeton now,umar,princeton,studies_at
karen is parent of alice biologically,karen,alice,parent_of
carol usually resides in miami today,carol,miami,lives_in
dave currently lives in zurich,dave,zurich,lives_in
noah actively learns at duke now,noah,duke,studies_at
xavier regularly uses pytorch effectively,xavier,pytorch,uses
rachel is parent of yasmin,rachel,yasmin,parent_of
frank was born in prague historically,frank,prague,born_in
xavier personally keeps watch today,xavier,watch,owns
yasmin actively trains at ethz,yasmin,ethz,studies_at
yasmin was born in miami historically,yasmin,miami,born_in
carol was born in paris officially,carol,paris,born_in
victor was born in dallas historically,victor,dallas,born_in
zane currently dwells in vienna today,zane,vienna,lives_in
port is located in berlin officially,port,berlin,located_in
sam regularly leads at spotify today,sam,spotify,works_at
liam actively serves at ibm today,liam,ibm,works_at
emma legally keeps the house today,emma,house,owns
gear is part of cluster currently,gear,cluster,part_of
tina currently dwells in delhi daily,tina,delhi,lives_in
bob securely keeps the tablet today,bob,tablet,owns
irene is parent of karen,irene,karen,parent_of
xavier seriously studies at nus daily,xavier,nus,studies_at
wendy usually lives in denver,wendy,denver,lives_in
gallery is located in vienna currently,gallery,vienna,located_in
liam was born in miami officially,liam,miami,born_in
sam was born in dallas recently,sam,dallas,born_in
filter is part of device,filter,device,part_of
rachel is parent of sam biologically,rachel,sam,parent_of
henry seriously trains at mit today,henry,mit,studies_at
sam is married to mia officially,sam,mia,married_to
irene is married to dave legally,irene,dave,married_to
zane legally owns the farm officially,zane,farm,owns
liam is parent of dave,liam,dave,parent_of
dave is married to alice,dave,alice,married_to
liam was born in dallas,liam,dallas,born_in
zane currently resides in lisbon now,zane,lisbon,lives_in
zane currently leads at siemens now,zane,siemens,works_at
karen usually lives in rome today,karen,rome,lives_in
dave is parent of umar legally,dave,umar,parent_of
karen currently lives in oslo now,karen,oslo,lives_in
irene was born in denver officially,irene,denver,born_in
jack is married to wendy legally,jack,wendy,married_to
stadium is located in madrid today,stadium,madrid,located_in
warehouse is located in denver officially,warehouse,denver,located_in
xavier currently lives in seoul,xavier,seoul,lives_in
liam is parent of victor legally,liam,victor,parent_of
liam securely owns the scooter officially,liam,scooter,owns
emma was born in berlin recently,emma,berlin,born_in
bob is married to rachel happily,bob,rachel,married_to
campus is located in lisbon officially,campus,lisbon,located_in
victor actively trains at duke today,victor,duke,studies_at
valve is part of vehicle currently,valve,vehicle,part_of
wendy currently works at siemens daily,wendy,siemens,works_at
paul personally owns tablet officially,paul,tablet,owns
wendy seriously learns at ethz daily,wendy,ethz,studies_at
alice actively studies at ucla now,alice,ucla,studies_at
quinn seriously studies at oxford,quinn,oxford,studies_at
bob actively studies at epfl daily,bob,epfl,studies_at
valve is part of robot,valve,robot,part_of
stadium is located in dubai today,stadium,dubai,located_in
liam is parent of xavier officially,liam,xavier,parent_of
xavier was born in vienna officially,xavier,vienna,born_in
bob currently leads at microsoft now,bob,microsoft,works_at
henry is married to grace legally,henry,grace,married_to
tina is married to karen,tina,karen,married_to
liam is parent of karen officially,liam,karen,parent_of
frank is parent of alice legally,frank,alice,parent_of
carol diligently studies at ethz daily,carol,ethz,studies_at
airport is located in boston today,airport,boston,located_in
karen personally holds the laptop officially,karen,laptop,owns
quinn currently serves at oracle daily,quinn,oracle,works_at
karen seriously learns at duke now,karen,duke,studies_at
quinn currently lives in dubai now,quinn,dubai,lives_in
carol diligently trains at cornell,carol,cornell,studies_at
emma was born in paris officially,emma,paris,born_in
switch is part of device officially,switch,device,part_of
zane currently works at google,zane,google,works_at
yasmin is married to mia officially,yasmin,mia,married_to
embassy is located in vienna today,embassy,vienna,located_in
carol is married to bob legally,carol,bob,married_to
grace is parent of alice officially,grace,alice,parent_of
tina was born in dubai,tina,dubai,born_in
tina is parent of quinn officially,tina,quinn,parent_of
umar actively trains at cornell daily,umar,cornell,studies_at
hospital is located in prague currently,hospital,prague,located_in
hospital is located in sydney officially,hospital,sydney,located_in
xavier regularly serves at cisco now,xavier,cisco,works_at
bob usually dwells in oslo now,bob,oslo,lives_in
karen is married to emma happily,karen,emma,married_to
alice personally owns the console officially,alice,console,owns
noah regularly operates git carefully,noah,git,uses
frank securely holds bicycle today,frank,bicycle,owns
emma personally holds the laptop today,emma,laptop,owns
henry daily uses the git today,henry,git,uses
olivia daily operates the python effectively,olivia,python,uses
henry personally keeps car officially,henry,car,owns
factory is located in dallas today,factory,dallas,located_in
xavier securely owns laptop today,xavier,laptop,owns
yasmin legally holds bicycle officially,yasmin,bicycle,owns
alice is married to paul legally,alice,paul,married_to
dave regularly handles the tensorflow effectively,dave,tensorflow,uses
tina daily operates git today,tina,git,uses
xavier was born in tokyo historically,xavier,tokyo,born_in
noah is parent of tina legally,noah,tina,parent_of
wendy legally keeps car officially,wendy,car,owns
irene actively studies at duke,irene,duke,studies_at
carol often resides in prague daily,carol,prague,lives_in
alice actively trains at harvard today,alice,harvard,studies_at
sam is parent of umar legally,sam,umar,parent_of
xavier is parent of bob legally,xavier,bob,parent_of
carol is parent of umar biologically,carol,umar,parent_of
museum is located in paris currently,museum,paris,located_in
studio is located in miami currently,studio,miami,located_in
carol is married to grace,carol,grace,married_to
tina is married to victor,tina,victor,married_to
mia actively serves at samsung daily,mia,samsung,works_at
rachel daily handles spark carefully,rachel,spark,uses
frank often resides in miami,frank,miami,lives_in
umar actively trains at mit now,umar,mit,studies_at
irene was born in lisbon recently,irene,lisbon,born_in
sam actively studies at brown,sam,brown,studies_at
frank is married to sam officially,frank,sam,married_to
emma routinely uses tensorflow effectively,emma,tensorflow,uses
panel is part of robot currently,panel,robot,part_of
zane actively works at microsoft,zane,microsoft,works_at
liam is married to grace happily,liam,grace,married_to
motor is part of pipeline,motor,pipeline,part_of
dave is parent of irene biologically,dave,irene,parent_of
valve is part of device today,valve,device,part_of
tina actively studies at harvard now,tina,harvard,studies_at
grace is parent of henry legally,grace,henry,parent_of
liam regularly works at oracle,liam,oracle,works_at
grace routinely operates pytorch effectively,grace,pytorch,uses
studio is located in rome,studio,rome,located_in
embassy is located in vienna,embassy,vienna,located_in
alice often resides in tokyo today,alice,tokyo,lives_in
umar currently lives in phoenix daily,umar,phoenix,lives_in
irene was born in berlin recently,irene,berlin,born_in
sam is parent of dave officially,sam,dave,parent_of
museum is located in delhi today,museum,delhi,located_in
liam routinely operates spark effectively,liam,spark,uses
bob often resides in berlin now,bob,berlin,lives_in
quinn regularly leads at oracle daily,quinn,oracle,works_at
emma was born in london officially,emma,london,born_in
frank legally owns the studio currently,frank,studio,owns
gear is part of server,gear,server,part_of
frank personally owns the console currently,frank,console,owns
alice is married to dave legally,alice,dave,married_to
battery is part of server officially,battery,server,part_of
irene daily uses jira carefully,irene,jira,uses
irene securely keeps studio currently,irene,studio,owns
frank was born in paris,frank,paris,born_in
grace actively learns at nus today,grace,nus,studies_at
victor usually resides in berlin daily,victor,berlin,lives_in
quinn routinely uses the excel carefully,quinn,excel,uses
noah is married to yasmin happily,noah,yasmin,married_to
henry is married to xavier,henry,xavier,married_to
alice actively trains at iisc now,alice,iisc,studies_at
mia was born in miami,mia,miami,born_in
henry regularly operates python today,henry,python,uses
port is located in sydney currently,port,sydney,located_in
xavier legally keeps the guitar currently,xavier,guitar,owns
jack currently works at zoom now,jack,zoom,works_at
bob securely keeps phone today,bob,phone,owns
rachel is married to karen happily,rachel,karen,married_to
victor was born in delhi officially,victor,delhi,born_in
irene routinely handles python effectively,irene,python,uses
engine is part of server today,engine,server,part_of
rachel is married to dave officially,rachel,dave,married_to
rachel actively learns at brown daily,rachel,brown,studies_at
liam diligently trains at harvard today,liam,harvard,studies_at
mia was born in madrid historically,mia,madrid,born_in
emma actively studies at brown daily,emma,brown,studies_at
plugin is part of robot currently,plugin,robot,part_of
dave currently resides in lisbon daily,dave,lisbon,lives_in
terminal is located in zurich currently,terminal,zurich,located_in
tina routinely uses the spark today,tina,spark,uses
noah is parent of henry legally,noah,henry,parent_of
sam is parent of yasmin officially,sam,yasmin,parent_of
henry actively serves at microsoft,henry,microsoft,works_at
henry is married to irene officially,henry,irene,married_to
alice regularly works at zoom now,alice,zoom,works_at
bob often resides in denver daily,bob,denver,lives_in
yasmin currently leads at oracle daily,yasmin,oracle,works_at
noah often lives in seoul now,noah,seoul,lives_in
yasmin regularly works at amazon now,yasmin,amazon,works_at
noah is parent of tina,noah,tina,parent_of
irene is parent of emma officially,irene,emma,parent_of
factory is located in madrid,factory,madrid,located_in
terminal is located in paris officially,terminal,paris,located_in
emma is married to noah,emma,noah,married_to
zane diligently trains at oxford today,zane,oxford,studies_at
jack actively leads at tesla,jack,tesla,works_at
xavier was born in denver recently,xavier,denver,born_in
mia often lives in miami today,mia,miami,lives_in
library is located in vienna officially,library,vienna,located_in
mia seriously trains at ethz daily,mia,ethz,studies_at
motor is part of network,motor,network,part_of
stadium is located in sydney officially,stadium,sydney,located_in
zane actively leads at google today,zane,google,works_at
jack currently works at paypal daily,jack,paypal,works_at
bob is married to henry officially,bob,henry,married_to
plugin is part of vehicle currently,plugin,vehicle,part_of
irene currently resides in boston,irene,boston,lives_in
liam usually dwells in boston,liam,boston,lives_in
liam routinely uses the pytorch today,liam,pytorch,uses
victor routinely handles excel today,victor,excel,uses
plugin is part of drone currently,plugin,drone,part_of
center is located in madrid officially,center,madrid,located_in
studio is located in tokyo currently,studio,tokyo,located_in
irene usually resides in vienna,irene,vienna,lives_in
wendy routinely operates notion carefully,wendy,notion,uses
stadium is located in prague officially,stadium,prague,located_in
grace currently works at adobe now,grace,adobe,works_at
jack actively serves at amazon today,jack,amazon,works_at
