entity_raw,entity,degree
/m/0cb77r,Thomas Little,48
/m/06j0md,James Burrows,56
/m/01453,ACF Fiorentina,21
/m/0dgrmp,Goalkeeper,1508
/m/028_yv,Once Upon a Time in America,72
/m/03rjj,Italy,840
/m/01914,Beijing,41
/m/05_6_y,David Healy,27
/m/02b15h,Doncaster Rovers F.C.,12
/m/03c7ln,Jay Bennett,49
/m/026t6,Drum,437
/m/02pprs,Alto saxophone,104
/m/07s3vqk,Ray Charles,79
/m/05zjtn4,University of North Texas,29
/m/0197tq,Norah Jones,92
/m/02_fm2,Treasure Planet,27
/m/0411q,John Lee Hooker,32
/m/016z4k,Singer-songwriter-GB,348
/m/06151l,Freddy Rodriguez,95
/m/06gp3f,Justina Machado,53
/m/01fq7,Battle Creek,8
/m/06w99h3,Rango,45
/m/02kdv5l,Action Film,534
/m/05cljf,Keith Urban,50
/m/0342h,Guitar,1262
/m/0l14qv,Synthesizer,538
/m/02bfmn,Brad Dourif,78
/m/05zppz,Male,3567
/m/01rk91,Internship,10
/m/0kc6x,ESPN,12
/m/01xdf5,Stephen Colbert,73
/m/04t2l2,Steve Carell,173
/m/027qgy,My Big Fat Greek Wedding,35
/m/06cvj,Romantic comedy,145
/m/02v8kmz,Bulworth,50
/m/01j5ts,Anjelica Huston,79
/m/06_kh,Santa Monica,99
/m/0dwl2,Valve Corporation,6
/m/01mw1,Video game,70
/m/02wh75,Grammy Award for Best Rock Song,85
/m/0lbj1,Sting,116
/m/0c3ybss,Insidious,62
/m/01l1b90,Tyrese Gibson,43
/m/02vp1f_,Quest for Fire,47
/m/03_3d,Japan,736
/m/09m6kg,A Beautiful Mind,94
/m/02h40lc,English Language,3225
/m/05bp8g,Kaneto Shiozawa,13
/m/047q2k1,3 Idiots,34
/m/05p553,Comedy-GB,740
/m/01ypc,Cincinnati Reds,54
/m/02dwn9,Starting pitcher,15
/m/06dv3,Russell Crowe,154
/m/01rtm4,Sarah Lawrence College,43
/m/02rchht,Jon Avnet,39
/m/0dq3c,Vice President-GB,102
/m/02zs4,Ford Motor Company,20
/m/0qcr0,Cancer,76
/m/0byfz,Laurence Olivier,65
/m/06wzvr,Can't Stop the Music,19
/m/01q03,Cult film,44
/m/01qn7n,The O.C.,14
/m/0cnl80,Phyllis Smith,64
/m/083chw,Rainn Wilson,122
/m/0qf43,Danny Boyle,37
/m/0f_nbyh,Producers Guild of America Award for Best Theatrical Motion Picture,118
/m/0c0yh4,Sunshine,39
/m/0d060g,Canada,1027
/m/03g90h,Babylon 5: The Gathering,61
/m/02_n3z,Dialogue Editor,107
/m/06cqb,Reggae,48
/m/0827d,World music,40
/m/014zcr,George Clooney,261
/m/05m63c,Krista Allen,25
/m/0yyg4,Mississippi Burning,50
/m/027c924,National Board of Review Award for Best Director,74
/m/0h3y,Algeria,83
/m/0rtv,Algiers,5
/m/090s_0,Gulliver's Travels-GB,38
/m/0h0jz,Peter O'Toole,56
/m/01kyvx,Seiyū-GB,62
/m/0ckr7s,Sailor Moon R the Movie: Promise of the Rose,22
/m/05ztjjw,MTV Movie Award for Best Movie,114
/m/01gc7,Braveheart,81
/m/01vw87c,Jon Bon Jovi,51
/m/01gbcf,Math rock,9
/m/016clz,Alternative rock,247
/m/011yrp,Life Is Beautiful,91
/m/0d0vqn,Sweden,607
/m/049tjg,Van Johnson,15
/m/05jf85,The Purple Rose of Cairo,39
/m/04t36,Musical,208
/m/011yxg,Moulin Rouge!,106
/m/0t015,Iowa City,14
/m/0j1z8,United Arab Emirates,104
/m/07t65,United Nations,202
/m/02sgy,Electric guitar,404
/m/0l14md,Percussion,656
/m/05r5c,Piano,922
/m/0c9d9,Jean Michel Jarre,39
/m/02g8h,Denis Leary,40
/m/01d_h8,Film Producer-GB,1088
/m/0n5j_,Bergen County,23
/m/0fm9_,Rockland County,13
/m/04cy8rb,Conrad Buff,30
/m/07gp9,Terminator 2: Judgment Day,92
/m/081pw,World War II,87
/m/0gzy02,The Guns of Navarone,44
/m/05g8ky,Josh Schwartz,20
/m/01jssp,University of Pittsburgh,58
/m/01l849,Gold,181
/m/0f4y_,Delaware County,15
/m/059rby,New York,479
/m/03x3qv,Joshua Malina,44
/m/0g60z,The West Wing,89
/m/0d_84,Val Kilmer,51
/m/01hr1,Batman Forever,47
/m/042l3v,Herbert Ross,22
/m/026mg3,Grammy Award for Best Country Instrumental Performance,63
/m/01s695,42nd Annual Grammy Awards,147
/m/0gx1bnj,Seeking a Friend for the End of the World,55
/m/04gzd,Lithuania,240
/m/060c4,President,764
/m/04wlz2,Hampton University,27
/m/01gxqf,Macclesfield Town F.C.,11
/m/09xbpt,Ocean's Thirteen,41
/m/05f4m9q,Razzie Award for Worst Director,184
/m/08lr6s,The Scarlet Letter,35
/m/0hl3d,Pierre Boulez,31
/m/0cbd2,Writer-GB,537
/m/0495ys,93rd United States Congress,56
/m/05l2z4,90th United States Congress,52
/m/018wrk,1904 Summer Olympics,46
/m/02bkg,Diving,80
/m/0h5f5n,Peter Morgan,56
/m/04jpl,London,544
/m/047gn4y,Prince of Persia: The Sands of Time,30
/m/05ty4m,Judd Apatow,92
/m/0bvn25,Knocked Up,50
/m/01vrx3g,Levon Helm,51
/m/01lmj3q,Ricky Skaggs,87
/m/01wbg84,Steve Buscemi,141
/m/01r42_g,Jamie Lynn Sigler,82
/m/0ddfwj1,Submarine,48
/m/02wkmx,Palme d'Or,74
/m/02vxn,Film,148
/m/05cj4r,Eileen Atkins,100
/m/0bfvw2,Primetime Emmy Award for Outstanding Supporting Actress - Miniseries or a Movie,128
/m/023tp8,Patricia Arquette,35
/m/0dq626,Holes,32
/m/07sbbz2,Rock and roll,72
/m/089tm,ZZ Top,30
/m/0m2wm,Claudia Schiffer,59
/m/02zq43,Thomas Sangster,44
/m/086k8,Warner Bros. Entertainment,566
/m/0czyxs,Watchmen,42
/m/03hkv_r,Writers Guild of America Award for Best Adapted Screenplay,228
/m/0ds3t5x,The Help,140
/m/02896,Dallas Cowboys,65
/m/05krk,Ohio State University,74
/m/0chghy,Australia,810
/m/0l6vl,1980 Summer Olympics,104
/m/0dnvn3,The Ladykillers,37
/m/07zrf,Vietnamese Language,18
/m/016fyc,The Usual Suspects,59
/m/01qscs,Benicio del Toro,111
/m/01p7yb,Frances McDormand,86
/m/0p_pd,Bill Murray,114
/m/0bl2g,Dustin Hoffman,92
/m/0prfz,Liev Schreiber,47
/m/01q_ph,Owen Wilson,142
/m/05zr6wv,MTV Movie Award for Best On-Screen Duo,206
/m/0cjk9,Ukrainian Language,16
/m/047lj,Kazakhstan,183
/m/0s3y5,Urbana,16
/m/09fb5,Jack Nicholson,142
/m/07xtqq,One Flew Over the Cuckoo's Nest,75
/m/01k1k4,Austin Powers: The Spy Who Shagged Me,65
/m/0gtv7pk,Resident Evil: Retribution,61
/m/01ls2,Colombia,211
/m/02rbdlq,Scottish Canadian,8
/m/0l8v5,Neve Campbell,27
/m/095zlp,The Hours,95
/m/03ckxdg,Elizabeth Page,73
/m/02_1q9,Another World,51
/m/09n48,2002 Winter Olympics,170
/m/020qr4,Sonic X,24
/m/03_r3,Jamaica,69
/m/02lq67,Bronze medal,159
/m/0dtw1x,The Aristocrats,48
/m/01yznp,Penn Jillette,26
/m/01tvz5j,Maria Bello,52
/m/03rs8y,Eriq La Salle,46
/m/0h1cdwq,Alvin and the Chipmunks: Chipwrecked,72
/m/03rt9,Republic of Ireland,470
/m/0m2kd,Stand by Me,51
/m/042v_gx,Acoustic guitar,415
/m/025cbm,Clavinet,52
/m/025h4z,Judd Hirsch,41
/m/0bp_b2,Primetime Emmy Award for Outstanding Guest Actor - Drama Series,140
/m/032xhg,Jason Bateman,47
/m/034qrh,DodgeBall: A True Underdog Story,41
/m/050023,Richard Culliton,94
/m/026dcvf,Christopher Whitesell,81
/m/023rwm,Roadrunner Records,23
/m/01t_xp_,Rush,20
/m/01dw4q,Teri Hatcher,112
/m/02qjj7,Dean Cain,29
/m/0436f4,Vincent Pastore,59
/m/02lfcm,Michael Imperioli,96
/m/03v1s,Indiana,112
/m/0plyy,Terre Haute,9
/m/0z4s,Anthony Hopkins,147
/m/099jhq,Broadcast Film Critics Association Award for Best Supporting Actor,153
/m/0sx7r,1992 Winter Olympics,57
/m/03tmr,Ice Hockey,90
/m/02j9z,Europe,158
/m/05qhw,Poland,520
/m/0h1_w,Fredric March,16
/m/0789_m,Tony Award for Best Actor in a Play,117
/m/054_mz,Lawrence Bender,29
/m/0fp_v1x,Stewart Copeland,41
/m/09bjv,Beirut,15
/m/05zkcn5,MTV Movie Award for Best Song from a Movie,39
/m/03mh94,Robots,34
/m/05vsb7,2005 NFL Draft,49
/m/01pl14,Louisiana State University,71
/m/0dckvs,Election 2,42
/m/02r96rf,Visual Effects Supervisor,862
/m/0223bl,Crystal Palace F.C.,21
/m/02vx4,Football,507
/m/0clfdj,7th Critics' Choice Awards,51
/m/09fqtq,James Wilby,76
/m/0m0jc,Electronica,76
/m/01pfr3,Garbage,37
/m/07w21,Ursula K. Le Guin,55
/m/041h0,J. R. R. Tolkien,39
/m/01rrwf6,Billy West,16
/m/02dtg,Detroit,109
/m/052nd,McGill University,55
/m/015pdg,Southern rock,29
/m/0m2l9,Neil Young,70
/m/0gq_v,Academy Award for Best Production Design,449
/m/0ds11z,Sweeney Todd: The Demon Barber of Fleet Street,72
/m/02rjjll,50th Annual Grammy Awards-US,146
/m/032nwy,Michael Brecker,41
/m/0159h6,Emma Thompson,142
/m/0h5g_,Liam Neeson,103
/m/04rs03,Mahesh Bhatt,13
/m/0flw86,Islam,97
/m/080dwhx,Boardwalk Empire,88
/m/03w1v2,Michael Pitt,74
/m/0c4f4,Helen Hunt,102
/m/0bxtg,Tom Hanks,221
/m/0fd3y,Ambient music,47
/m/0m19t,Portishead,36
/m/04v8x9,Ben-Hur,53
/m/0p9sw,Academy Award for Best Sound Mixing,354
/m/087c7,Xerox,29
/m/01tlmw,Norwalk,17
/m/0g5qs2k,Snow White and the Huntsman,91
/m/03_d0,Jazz,179
/m/026ps1,Diana Krall,65
/m/02g3v6,Saturn Award for Best Costume,124
/m/0ds33,Armageddon,71
/m/04wqr,Marilyn Monroe,37
/m/0chsq,Charlton Heston,47
/m/0dscrwf,The Vow,71
/m/07ssc,United Kingdom,2226
/m/01rr9f,Courteney Cox,89
/m/02zsn,Female,986
/m/058ncz,Jesse Metcalfe,50
/m/03zqc1,Felicity Huffman,114
/m/016z5x,Chaplin,51
/m/07f8wg,Mario Kassar,33
/m/01dys,Biathlon,59
/m/0147dk,Will Smith,128
/m/01h7bb,The Last Samurai,53
/m/06cv1,Robert Rodriguez,66
/m/02jknp,Film Director,748
/m/017149,Ed Harris,139
/m/05hj0n,Kathleen Quinlan,32
/m/04lgymt,Phil Tan,53
/m/02g3gj,Grammy Award for Best Dance Recording,59
/m/0lhp1,Real Zaragoza,16
/m/02_j1w,Defender,1755
/m/06cs95,Into the West,28
/m/02nb2s,Matthew Modine,20
/m/0gq6s3,Goya Award for Best Original Screenplay,20
/m/04nl83,The Sea Inside,43
/m/02rgz4,Joe Hisaishi,22
/m/018jk2,Nagano Prefecture,6
/m/0gkvb7,Primetime Emmy Award for Individual Performance - Variety Or Music Program,90
/m/03f2_rc,Barbra Streisand,142
/m/07lmxq,Miguel Sandoval,42
/m/06jzh,Robin Wright,66
/m/017s11,Columbia Pictures,420
/m/0djb3vw,Restless,51
/m/01ty7ll,Betty Grable,20
/m/033hqf,George Raft,15
/m/04bs3j,Sarah Silverman,45
/m/01j_9c,University of Iowa,60
/m/02mslq,David Sanborn,34
/m/014x77,Rachel Weisz,48
/m/01ln5z,The Mummy,28
/m/05v8c,Philippines,321
/m/02j71,Earth,228
/m/0n4m5,Buncombe County,8
/m/0ydpd,Asheville,16
/m/02211by,Chief Technology Officer,20
/m/01c6k4,Avid Technology,53
/m/0c1pj,Mel Gibson,69
/m/03h_yy,The Singing Detective,39
/m/0151ns,Milla Jovovich,38
/m/05p1tzf,The Hangover,90
/m/0f830f,Robert Clohessy,64
/m/027dtv3,Jack Huston,68
/m/01nqfh_,Brian Tyler,37
/m/01c8w0,Conductor,84
/m/01wl38s,Nick Cave,60
/m/04ztj,Marriage,3679
/m/01d38g,Grammy Award for Best R&B Performance by a Duo or Group with Vocals,94
/m/06cc_1,Michael McDonald,48
/m/07c6l,Trombone,135
/m/060v34,House of Wax,35
/m/03npn,Horror,181
/m/0bth54,Avatar,94
/m/016tt2,20th Century Fox,398
/m/040vk98,Locus Award for Best Science Fiction Novel,65
/m/01zkxv,Charles Stross,29
/m/0cb4j,Orange County,33
/m/01fpvz,Yale College,16
/m/05m_8,Oakland Athletics,61
/m/06pwq,Stanford University,140
/m/01sxly,A Fish Called Wanda,45
/m/015fr,Brazil,492
/m/0l98s,1972 Summer Olympics,112
/m/018dnt,Colm Meaney,16
/m/050r1z,The Last of the Mohicans,41
/m/07g2b,T. S. Eliot,50
/m/02p_7cr,Daytime Emmy Award for Outstanding Supporting Actor in a Drama Series,28
/m/02_1rq,Santa Barbara,43
/m/02_1sj,EDtv,38
/m/0f4x7,Academy Award for Best Actor,529
/m/0n0bp,Judgment at Nuremberg,41
/m/0lzb8,LeVar Burton,24
/m/02grdc,Grammy Award for Best Spoken Word Album,99
/m/02lf0c,Ivan Reitman,43
/m/0b60sq,Howl's Moving Castle,42
/m/0ggq0m,Classical music,86
/m/01vvy,Claude Debussy,18
/m/04ddm4,Jaws 3-D,36
/m/02n4kr,Mystery,284
/m/0gr4k,Academy Award for Best Writing Adapted Screenplay,494
/m/0bzk8w,46th Academy Awards,33
/m/03s6l2,Confessions of a Dangerous Mind,61
/m/0lsxr,Crime Fiction,352
/m/077g7n,113th United States Congress,97
/m/03ww_x,96th United States Congress,62
/m/02x3lt7,Hannah Montana: The Movie,77
/m/02k54,Egypt,181
/m/03xq0f,FilmFlex,148
/m/0p4wb,Lufthansa,26
/m/01fc7p,Gallipoli Campaign,14
/m/0bq0p9,British Raj,49
/m/0mkg,Accordion,261
/m/0dwsp,Marimba,149
/m/011yph,The Full Monty,53
/m/025jfl,Fox Searchlight Pictures,107
/m/09qwmm,Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Leading Role,178
/m/07s6fsf,MBA,164
/m/02w2bc,Central Michigan University,36
/m/0fq27fp,Wuthering Heights,45
/m/03kq98,Roots,24
/m/01gvr1,Cicely Tyson,55
/m/0cpllql,Star Wars: The Clone Wars,31
/m/02nxhr,Blu-ray disc,107
/m/01kwld,Dominic Monaghan,148
/m/09wj5,Orlando Bloom,124
/m/072kp,Seinfeld,70
/m/0ckd1,Executive Producer,433
/m/0c40vxk,Haywire,66
/m/0gx9rvq,Jack Reacher,53
/m/02pp_q_,Jerry Belson,35
/m/0d4fqn,Jay Kogen,37
/m/02r22gf,BAFTA Award for Best Sound,180
/m/01cssf,Romeo + Juliet,68
/m/014b4h,Brunel University,16
/m/02hsq3m,BAFTA Award for Best Special Visual Effects,155
/m/08720,WarGames,60
/m/032t2z,Richard Wright,48
/m/044rvb,J.K. Simmons,31
/m/028tv0,Lead guitar,219
/m/04rcr,Metallica,46
/m/04r7jc,Christopher Hampton,44
/m/013x0b,Mushroom Group,12
/m/0c7ct,Dannii Minogue,23
/m/026p_bs,The Prize,35
/m/021sv1,Daniel Inouye,43
/m/070m6c,111th United States Congress,112
/m/0kzy0,Brian Wilson,54
/m/0gbbt,Bassist,36
/m/025p38,Preity Zinta,23
/m/04jwjq,Veer-Zaara,41
/m/02cl1,Denver,71
/m/0jmdb,Denver Nuggets,19
/m/03lpp_,Washington Nationals,26
/m/083jv,White,442
/m/0401sg,Resident Evil,70
/m/02r_d4,Jeffrey Tambor,46
/m/0284n42,Kevin O'Connell,55
/m/0pc62,Pearl Harbor,72
/m/07gyv,Taekwondo,94
/m/0146pg,John Williams,173
/m/0dqytn,The Witches of Eastwick,41
/m/064t9,Pop music,399
/m/0168cl,Jimmy Buffett,42
/m/0jcgs,Salt Lake County,13
/m/0f2r6,Salt Lake City,45
/m/0170_p,The Hurricane,33
/m/033nzk,Chile national football team,26
/m/06y9c2,Peter Wentz,39
/m/0cqhk0,Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Comedy Series,269
/m/08wq0g,Creed Bratton,76
/m/01cv3n,Rivers Cuomo,40
/m/025vry,Erich Wolfgang Korngold,16
/m/0f2wj,Hollywood,106
/m/01ct6,Baltimore Ravens,58
/m/0g3zpp,2007 NFL Draft,46
/m/0bdw1g,Primetime Emmy Award for Outstanding Continued Performance by an Actress in a Leading Role in a Dramatic Series,114
/m/039fgy,Thirtysomething,34
/m/05b1610,Razzie Award for Worst Screenplay,182
/m/0dj0m5,Christopher Columbus: The Discovery,27
/m/06n7h7,Natalie Morales-Rhodes,71
/m/03ldxq,Ann Curry,69
/m/01n5309,Jimmy Fallon,47
/m/09qvc0,Primetime Emmy Award for Outstanding Guest Actor - Comedy Series,121
/m/0fgpvf,Girl with a Pearl Earring,42
/m/0209xj,Lost in Translation,74
/m/0209hj,Gandhi,84
/m/0kr5_,Richard Attenborough,43
/m/06x68,St. Louis Cardinals,52
/m/05kcgsf,1965 Major League Baseball Season,16
/m/01vvycq,Prince,125
/m/0187y5,Burt Reynolds,78
/m/09sb52,Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,670
/m/07k53y,USC Trojans football,43
/m/02vkdwz,Halfback,60
/m/02qggqc,Chris Lebenzon,34
/m/0fg04,Sleepy Hollow,66
/m/05gml8,Lauren Holly,50
/m/03m8lq,Amanda Peet,43
/m/07kb5,Thomas Aquinas,24
/m/02jcc,Epistemology,23
/m/0hn10,LGBT,106
/m/02py4c8,Angels in America,65
/m/018vs,Bass guitar,771
/m/0150jk,Nickelback,24
/m/0hmr4,Annie Hall,60
/m/01csvq,Diane Keaton,57
/m/018wng,Academy Award for Best Documentary Short Subject,79
/m/0fr63l,Mighty Joe Young,30
/m/01vlj1g,Matthew Broderick,44
/m/04fzfj,Godzilla,57
/m/01bgqh,Grammy Award for Record of the Year,224
/m/01bx35,43rd Annual Grammy Awards,145
/m/05kj_,Oregon,111
/m/0mx4_,Linn County,10
/m/059f4,New Hampshire,105
/m/05g3b,New England Patriots,71
/m/09byk,Rutger Hauer,20
/m/04306rv,German Language,223
/m/05jx2d,Montpellier HSC,13
/m/04zx3q1,PhD,136
/m/065y4w7,University of Southern California,194
/m/06w87,Steel guitar,54
/m/041ly3,Curtis Armstrong,8
/m/0c_j5d,Marvel Entertainment,28
/m/02_286,New York City,1232
/m/01w3v,Cornell University,85
/m/05qjt,Physics,153
/m/02w7gg,English people,161
/m/08f3b1,Sarah Palin,34
/m/01vj9c,Bass,424
/m/04dn09n,Golden Globe Award for Best Screenplay - Motion Picture,366
/m/09q_6t,56th Golden Globe Awards,42
/m/07lt7b,Marion Cotillard,71
/m/094qd5,BAFTA Award for Best Actress in a Leading Role,272
/m/026mfbr,Step Brothers,32
/m/01hp5,Batman,41
/m/0338lq,PolyGram Filmed Entertainment,41
/m/042rnl,Jiang Wen,14
/m/02z3r8t,"New York, I Love You",54
/m/06npd,Slovakia,172
/m/09qj50,Primetime Emmy Award for Outstanding Lead Actress - Comedy Series,109
/m/0kfpm,The Mary Tyler Moore Show,31
/m/043djx,31st United States Congress,57
/m/05fkf,North Carolina,134
/m/03gwpw2,12th Satellite Awards,63
/m/061681,The Bourne Ultimatum,62
/m/0274ck,Devin Townsend,36
/m/01hp22,Artistic gymnastics,110
/m/0jf1b,Bob Fosse,43
/m/0dzfdw,Tony Award for Best Choreography,5
/m/01r97z,Striptease,53
/m/02w0dc0,Albert Wolsky,33
/m/012cj0,Steve McQueen,22
/m/012c6x,Jackie Cooper,22
/m/06mzp,Switzerland,372
/m/0l998,1968 Summer Olympics,104
/m/0p_sc,Midnight Express,51
/m/05kfs,Oliver Stone,87
/m/0kbvb,2004 Summer Olympics,213
/m/096f8,Show jumping,78
/m/01qzyz,Twelve string guitar,96
/m/0gkz15s,The Hunger Games,100
/m/02k_4g,The Practice,65
/m/0fbvqf,Primetime Emmy Award for Outstanding Supporting Actor - Drama Series,126
/m/018ctl,2010 Winter Olympics,165
/m/03hjv97,The Merry Widow,39
/m/076lxv,Edwin B. Willis,45
/m/08gsvw,Quantum of Solace,44
/m/0g1rw,Metro-Goldwyn-Mayer,232
/m/0f8l9c,France,1102
/m/0lpp8,Burgundy,7
/m/087wc7n,The Lorax,72
/m/0hzlz,South Africa,282
/m/018db8,Joaquin Phoenix,81
/m/0mdqp,Ben Stiller,122
/m/035xwd,Sleepers,37
/m/09p35z,Starter for 10,27
/m/0415svh,Gary Goetzman,57
/m/0jm3v,New York Knicks,27
/m/03_gd,James Cameron,81
/m/07s467s,Environmentalist,10
/m/0cwrr,Sesame Street,42
/m/01mvth,Jerry Nelson,28
/m/04yj5z,John Leguizamo,41
/m/03ckwzc,Miracle at St. Anna,39
/m/03qd_,Harry Shearer,62
/m/07hpv3,The Boondocks,15
/m/0vgkd,Black comedy,100
/m/0jzw,Apocalypse Now,95
/m/03k9fj,Adventure Film,521
/m/01jfsb,Thriller,719
/m/0dsvzh,Gone Baby Gone,45
/m/084qpk,Grindhouse,52
/m/058kqy,Eli Roth,53
/m/0288zy,Mills College,32
/m/0785v8,John Hawkes,73
/m/05ml_s,Timothy Olyphant,37
/m/04bd8y,Richard Schiff,66
/m/02hxhz,Big Daddy,43
/m/05b__vr,Iqbal Theba,73
/m/064nh4k,Jenna Ushkowitz,70
/m/0b73_1d,True Grit,71
/m/02kxbwx,Ethan Coen,104
/m/02l840,Kanye West,160
/m/01wmxfs,Jamie Foxx,99
/m/02773nt,Robert Carlock,67
/m/02773m2,John Riggi,67
/m/02778pf,Marci Klein,52
/m/0pv2t,The Goodbye Girl,41
/m/027986c,Los Angeles Film Critics Association Award for Best Actor,72
/m/0164qt,The World Is Not Enough,61
/m/02sg5v,A View to a Kill,46
/m/016jhr,Jam band,22
/m/025xt8y,Trey Anastasio,37
/m/02lfl4,Tony Sirico,66
/m/0521rl1,Matt Servitto,56
/m/01bh3l,KwaZulu-Natal,6
/m/01_vrh,Pietermaritzburg,3
/m/01pcq3,Anna Paquin,123
/m/03h_9lg,Hugh Jackman,89
/m/07p__7,109th United States Congress,112
/m/02q_cc,Kathleen Kennedy,104
/m/0kx4m,Lucasfilm,50
/m/034x61,Patrick Dempsey,72
/m/066m4g,T. R. Knight,62
/m/02z13jg,Cannes Best Actor Award,49
/m/016khd,William Hurt,83
/m/05kjc6,Deportivo Cali,10
/m/0_3cs,Allentown,14
/m/0mwl2,Lehigh County,17
/m/02ndbd,Garry Marshall,38
/m/06_wqk4,Valentine's Day,91
/m/03ds3,Gary Busey,23
/m/013kcv,Tulsa,36
/m/019lwb,Sociedade Esportiva Palmeiras,13
/m/05jzt3,Walk the Line,56
/m/0hnlx,Arnold Schoenberg,23
/m/0fhp9,Vienna,66
/m/02h4rq6,Bachelor of Science,452
/m/088tb,Zoology,25
/m/0l6ny,1984 Summer Olympics,115
/m/0dwvl,Celesta,93
/m/02z9hqn,Evangelion: 2.0 You Can (Not) Advance,24
/m/09qv3c,Primetime Emmy Award for Outstanding Supporting Actor - Comedy Series,117
/m/02nf2c,Barney Miller,18
/m/0152cw,Jewel,31
/m/0hr3c8y,18th Screen Actors Guild Awards,58
/m/08w7vj,Stephen Graham,68
/m/032_jg,Casey Affleck,57
/m/06z8s_,Ocean's Eleven,50
